Borough,In/Out,Year,People
Lewisham,In,2015,"5,123"
Merton,In,2015,"3,739"
Newham,In,2015,"14,521"
Redbridge,In,2015,"6,620"
Richmond upon Thames,In,2015,"2,106"
Southwark,In,2015,"8,294"
Sutton,In,2015,"1,232"
Tower Hamlets,In,2015,"11,847"
Waltham Forest,In,2015,"7,691"
Wandsworth,In,2015,"6,445"
Westminster,In,2015,"14,590"
City of London,Out,2015,323
Barking and Dagenham,Out,2015,799
Barnet,Out,2015,"3,450"
Bexley,Out,2015,523
Brent,Out,2015,"4,193"
Bromley,Out,2015,936
Camden,Out,2015,"5,947"
Croydon,Out,2015,"2,127"
Ealing,Out,2015,"4,755"
Enfield,Out,2015,"1,317"
Greenwich,Out,2015,"1,952"
Hackney,Out,2015,"2,752"
Hammersmith and Fulham,Out,2015,"3,904"
Haringey,Out,2015,"3,582"
Harrow,Out,2015,"1,777"
Havering,Out,2015,613
Hillingdon,Out,2015,"2,230"
Hounslow,Out,2015,"2,427"
Islington,Out,2015,"3,680"
Kensington and Chelsea,Out,2015,"3,400"
Kingston upon Thames,Out,2015,"1,719"
Lambeth,Out,2015,"4,967"
Lewisham,Out,2015,"2,666"
Merton,Out,2015,"2,281"
Newham,Out,2015,"3,385"
Redbridge,Out,2015,"1,733"
Richmond upon Thames,Out,2015,"1,567"
Southwark,Out,2015,"4,801"
Sutton,Out,2015,749
Tower Hamlets,Out,2015,"5,217"
Waltham Forest,Out,2015,"2,625"
Wandsworth,Out,2015,"5,186"
Westminster,Out,2015,"6,785"
City of London,In,2016,756
Barking and Dagenham,In,2016,"4,185"
Barnet,In,2016,"7,622"
Bexley,In,2016,"1,159"
Brent,In,2016,"10,765"
Bromley,In,2016,"1,640"
Camden,In,2016,"11,815"
Croydon,In,2016,"4,008"
Ealing,In,2016,"7,866"
Enfield,In,2016,"4,524"
Greenwich,In,2016,"4,179"
Hackney,In,2016,"5,054"
Hammersmith and Fulham,In,2016,"5,333"
Haringey,In,2016,"7,480"
Harrow,In,2016,"4,742"
Havering,In,2016,"1,492"
Hillingdon,In,2016,"5,000"
Hounslow,In,2016,"5,523"
Islington,In,2016,"7,712"
Kensington and Chelsea,In,2016,"4,429"
Kingston upon Thames,In,2016,"3,098"
Lambeth,In,2016,"6,358"
Lewisham,In,2016,"4,741"
Merton,In,2016,"3,438"
Newham,In,2016,"12,785"
Redbridge,In,2016,"5,732"
Richmond upon Thames,In,2016,"1,871"
Southwark,In,2016,"7,837"
Sutton,In,2016,"1,058"
Tower Hamlets,In,2016,"11,434"
Waltham Forest,In,2016,"7,140"
Wandsworth,In,2016,"6,148"
Westminster,In,2016,"13,477"
City of London,Out,2016,441
Barking and Dagenham,Out,2016,959
Barnet,Out,2016,"3,506"
Bexley,Out,2016,556
Brent,Out,2016,"4,740"
Bromley,Out,2016,"1,059"
Camden,Out,2016,"6,140"
Croydon,Out,2016,"2,385"
Ealing,Out,2016,"5,798"
Enfield,Out,2016,"1,471"
Greenwich,Out,2016,"2,123"
Hackney,Out,2016,"3,534"
Hammersmith and Fulham,Out,2016,"4,336"
Haringey,Out,2016,"4,460"
Harrow,Out,2016,"1,707"
Havering,Out,2016,738
Hillingdon,Out,2016,"2,187"
Hounslow,Out,2016,"2,560"
Islington,Out,2016,"4,385"
Kensington and Chelsea,Out,2016,"3,410"
Kingston upon Thames,Out,2016,"1,852"
Lambeth,Out,2016,"6,030"
Lewisham,Out,2016,"3,196"
Merton,Out,2016,"2,458"
Newham,Out,2016,"4,189"
Redbridge,Out,2016,"1,817"
Richmond upon Thames,Out,2016,"1,637"
Southwark,Out,2016,"5,568"
Sutton,Out,2016,866
Tower Hamlets,Out,2016,"5,906"
Waltham Forest,Out,2016,"3,172"
Wandsworth,Out,2016,"6,230"
Westminster,Out,2016,"7,497"
