Area name,Year,% of economically active with NVQ4+ - working age_x,% of economically active with NVQ4+ - working age_y,% of economically active with NVQ3 only - working age,% of economically active with Trade Apprenticeships - working age,% of economically active with NVQ2 only - working age,% of economically active with NVQ1 only - working age,% of economically active with other qualifications - working age,% of economically active with no qualifications - working age,Gross Annual Pay - Full Time - Total (£),Gross Annual Pay - Full Time - Male (£),Gross Annual Pay - Full Time - Female (£),Median Modelled Household income (£),Mean Modelled Household income (£),Real change % (after inflation) - 2001/02 to 2012/13,Number of active businesses,Two-year business survival rates,Number Employed - Total,Number Employed - Male,Number Employed - Female,Jobs Density,Crime Rates per thousand population,Fires per thousand population,Ambulance incidents per hundred population,Total Carbon Emissions,Household Waste Recycling Rate,Number of Licensed Vehicles,Traffic Flows,% of adults who cycle at least once per month,Road Casualties (Killed or Seriously Injured),Average Public Transport Accessibility Score,% children living in out-of-work households
Redbridge,2005,41.0,41.0,8.6,5.3,12,12.3,12.9,7.8,26462,26824,25572,,,,,,,,,,98.10383209,,,1109.5344029999999,17.0,,1061.0,,94.0,,
Richmond upon Thames,2005,53.7,53.7,12.7,2.8,8.8,4.9,11.3,5.7,26809,28532,-,,,,,,,,,,82.04046103,,,1051.8932550000002,29.0,,860.0,,72.0,,
Southwark,2005,49.5,49.5,9.6,1.5,5.5,8,10.1,15.8,29534,32763,25036,,,,,,,,,,158.2515632,,,1732.733621,15.0,,820.0,,132.0,,
Sutton,2005,32.0,32.0,18.8,2.6,16.3,14.4,7.2,8.7,25714,-,23379,,,,,,,,,,88.28520123,,,877.3125574,29.0,,700.0,,66.0,,
Tower Hamlets,2005,37.7,37.7,8.8,1.7,7.8,10,21,13,39493,45711,34634,,,,,,,,,,158.1951617,,,2006.7778640000001,9.0,,936.0,,111.0,,
Waltham Forest,2005,27.5,27.5,7.9,3.1,17.2,9.7,21.5,13.1,21931,22592,21388,,,,,,,,,,132.9367092,,,992.6795281999999,22.0,,749.0,,93.0,,
Wandsworth,2005,51.4,51.4,10.6,2,6.6,6.1,15.1,8,26549,28996,23789,,,,,,,,,,106.3803495,,,1483.743347,21.0,,935.0,,121.0,,
Westminster,2005,51.6,51.6,6.2,2.5,7,4.7,20.1,7.9,32519,37156,28003,,,,,,,,,,320.8056218,,,3382.775493,18.0,,1016.0,,263.0,,
City of London,2006,67.9,67.9,!,!,!,!,!,!,46292,55543,36069,,,,,,,,,,-,,,1765.3115070000001,28.0,,196.0,,61.0,,
Barking and Dagenham,2006,18.5,18.5,11.2,3.5,15.2,19.5,15.2,17,26549,28695,-,,,,,,,,,,127.9276369,,,936.4348194,21.0,,624.0,,67.0,,
Barnet,2006,42.3,42.3,10,2,11,7.3,22.1,5.3,26071,31000,22462,,,,,,,,,,90.44712682,,,1776.8729219999998,29.0,,1660.0,,147.0,,
Bexley,2006,24.2,24.2,17.5,4,17.7,19.5,10.9,6.3,24719,28903,21522,,,,,,,,,,76.12414905,,,1268.8309359999998,40.0,,979.0,,103.0,,
Brent,2006,35.0,35.0,9.7,3.7,8.3,9.1,26.9,7.2,25279,26808,23185,,,,,,,,,,110.2117872,,,1397.260589,22.0,,964.0,,107.0,,
Bromley,2006,39.1,39.1,14.5,4.2,14,11.7,9.5,7.1,25715,27850,23287,,,,,,,,,,94.44350302,,,1603.62949,32.0,,1308.0,,163.0,,
Camden,2006,60.1,60.1,8.2,1.1,6.8,4.9,12.6,6.3,32418,35800,29503,,,,,,,,,,201.083248,,,1802.040085,28.0,,512.0,,123.0,,
Croydon,2006,33.6,33.6,17.5,3.3,14.5,11,10.2,10,26049,28363,21893,,,,,,,,,,92.55424454,,,1733.0703800000001,20.0,,1280.0,,149.0,,
Ealing,2006,39.9,39.9,10.6,2.7,9.4,7.7,22.3,7.5,26354,28499,23426,,,,,,,,,,116.4942013,,,1710.1828510000003,25.0,,1321.0,,147.0,,
Enfield,2006,39.9,39.9,11.3,4.5,11.6,9.5,16.1,7.1,25088,27618,22339,,,,,,,,,,94.13803061,,,1726.3523,30.0,,1601.0,,135.0,,
Greenwich,2006,38.9,38.9,13.1,4.4,15.2,10.4,9.4,8.5,27363,29589,22111,,,,,,,,,,127.4798068,,,1258.9565910000001,24.0,,1144.0,,122.0,,
Hackney,2006,44.6,44.6,9.1,1.4,11.9,5.2,13.1,14.7,30105,32270,26010,,,,,,,,,,141.5122188,,,928.4291162000001,20.0,,543.0,,117.0,,
Hammersmith and Fulham,2006,59.0,59.0,8.7,1.5,5.3,5.9,15.7,3.9,30464,33179,27995,,,,,,,,,,145.0350651,,,1113.884719,24.0,,594.0,,133.0,,
Haringey,2006,47.9,47.9,8.7,2.2,8.2,6.4,18.9,7.7,27020,27837,25518,,,,,,,,,,131.211027,,,1054.477552,25.0,,603.0,,117.0,,
Harrow,2006,37.3,37.3,12.1,3.1,10.4,8.5,23.4,5.2,25575,27353,23875,,,,,,,,,,70.81723546,,,998.5349061000001,28.0,,620.0,,58.0,,
Havering,2006,20.4,20.4,15.9,6,15.9,15.9,10.4,15.6,26394,27443,22618,,,,,,,,,,87.63004058,,,1336.768435,20.0,,1539.0,,120.0,,
Hillingdon,2006,29.3,29.3,14.1,6.6,13.7,10.6,14.9,10.8,28771,31905,23938,,,,,,,,,,110.6345843,,,2319.320199,31.0,,2159.0,,110.0,,
Hounslow,2006,37.2,37.2,13.6,3.3,10.2,9.1,19.2,7.3,26853,28687,23829,,,,,,,,,,107.3310364,,,1638.988718,20.0,,1616.0,,146.0,,
Islington,2006,55.8,55.8,7.5,1.1,10.8,6.8,9.4,8.6,33995,37653,29215,,,,,,,,,,190.2387159,,,1227.103098,24.0,,451.0,,81.0,,
Kensington and Chelsea,2006,52.8,52.8,7.8,1.9,6,3.4,20.2,7.9,26619,27443,26484,,,,,,,,,,147.2238192,,,1411.384639,24.0,,569.0,,114.0,,
Kingston upon Thames,2006,47.9,47.9,14.3,2.7,11.6,9.7,7.9,5.8,25640,27741,22721,,,,,,,,,,85.28181067,,,877.0962291000001,24.0,,940.0,,77.0,,
Lambeth,2006,51.0,51.0,10.9,!,9,3.5,10.4,14.8,29930,31503,27851,,,,,,,,,,138.5549899,,,1426.182486,23.0,,832.0,,195.0,,
Lewisham,2006,36.2,36.2,10.5,2.4,13.5,11.6,16.2,9.6,27021,29106,25161,,,,,,,,,,124.623996,,,1156.272956,16.0,,831.0,,132.0,,
Merton,2006,43.3,43.3,9.8,4.3,9.4,9.9,16.3,6.8,24883,26723,22398,,,,,,,,,,83.51340121,,,896.5800417000002,25.0,,639.0,,74.0,,
Newham,2006,31.2,31.2,8.8,2.2,9,10.1,28.5,10.2,27162,29633,20448,,,,,,,,,,137.976077,,,1556.740657,14.0,,960.0,,75.0,,
Redbridge,2006,41.6,41.6,14.7,2.1,10.6,10.5,14.6,5.9,27940,29181,24961,,,,,,,,,,96.42787276,,,1103.7126560000002,19.0,,1085.0,,98.0,,
Richmond upon Thames,2006,58.7,58.7,10.4,3.2,9.8,6.2,7.5,4.4,28610,29397,27740,,,,,,,,,,73.46044269,,,1050.060344,32.0,,847.0,,103.0,,
Southwark,2006,46.0,46.0,8,1.7,10.6,6.8,12,15,31575,35166,27845,,,,,,,,,,148.4304044,,,1744.459839,18.0,,819.0,,138.0,,
Sutton,2006,34.8,34.8,17.5,2.8,16.2,13.8,5.1,9.8,25102,26500,22701,,,,,,,,,,84.25104712,,,878.1769712000001,30.0,,687.0,,83.0,,
Tower Hamlets,2006,39.7,39.7,10.9,1.1,9.2,8.6,16.8,13.7,38975,43463,32933,,,,,,,,,,149.3910256,,,2352.512761,12.0,,970.0,,124.0,,
Waltham Forest,2006,31.5,31.5,11.9,1.9,14.1,12,17.3,11.3,23074,25148,19910,,,,,,,,,,125.3711031,,,1001.9841369999999,28.0,,741.0,,100.0,,
Wandsworth,2006,59.6,59.6,9.3,1.6,5.8,4.8,11.1,7.9,27405,30039,24958,,,,,,,,,,104.4696701,,,1451.175639,23.0,,837.0,,134.0,,
Westminster,2006,56.1,56.1,9,1.8,6.9,5.3,12.8,8.2,33474,38360,28471,,,,,,,,,,297.389478,,,3567.550765,20.0,,1019.0,,293.0,,
City of London,2007,73.7,73.7,!,!,!,!,!,!,49955,58063,34892,83050.0,53110.0,,,82.75862069,,,,,-,,,1665.452824,33.0,,192.0,,48.0,,
Barking and Dagenham,2007,22.4,22.4,10.8,4.4,14.2,15,14.9,18.3,30200,34251,24278,28510.0,24520.0,,,79.41176471,,,,,115.5764327,,,925.1170819,20.0,,611.0,,60.0,,
Barnet,2007,47.6,47.6,12,1.3,7.9,9,14.3,7.8,27436,29777,25131,47050.0,34790.0,,,81.99566161,,,,,79.57603252,,,1718.216043,31.0,,1641.0,,158.0,,
Bexley,2007,23.1,23.1,15.1,3.3,21.4,18.1,7.8,11.2,26457,30038,21263,37260.0,30950.0,,,79.31034483,,,,,74.84028937,,,1217.751988,42.0,,968.0,,105.0,,
Brent,2007,31.3,31.3,6.7,1.8,9.9,5.4,38.3,6.5,25763,26186,23440,34560.0,27960.0,,,76.0,,,,,99.28937809,,,1401.1665130000001,21.0,,942.0,,98.0,,
Bromley,2007,39.0,39.0,18.1,3,17,11.4,6.2,5.3,25666,28491,23014,46340.0,36110.0,,,82.57142857,,,,,83.25485337,,,1523.673234,34.0,,1282.0,,143.0,,
Camden,2007,59.1,59.1,8.5,1.8,6.9,5.9,11.6,6.2,33059,36695,29263,58390.0,37410.0,,,82.5136612,,,,,167.3506051,,,1749.826488,27.0,,512.0,,105.0,,
Croydon,2007,34.8,34.8,16.1,2.7,12.6,11.1,9.9,12.7,25965,28658,22290,38630.0,31570.0,,,80.2507837,,,,,88.90820251,,,1679.9414780000002,23.0,,1278.0,,158.0,,
Ealing,2007,45.0,45.0,10.5,1.8,6.4,5.6,23.3,7.5,27490,30342,23933,40020.0,31450.0,,,75.18427518,,,,,106.5770026,,,1698.6427820000001,29.0,,1255.0,,137.0,,
Enfield,2007,35.7,35.7,16.3,3.4,11,11,14.2,8.5,26325,28752,22741,36100.0,28900.0,,,77.82101167,,,,,86.69657741,,,1719.934121,28.0,,1597.0,,98.0,,
Greenwich,2007,35.2,35.2,14.7,1.9,13.6,11.1,13,10.5,29319,33092,24901,36390.0,28940.0,,,77.88944724,,,,,129.4396178,,,1224.67136,31.0,,1133.0,,130.0,,
Hackney,2007,47.8,47.8,10,1.5,9.8,6.9,11.8,12.2,28996,33961,26543,34520.0,28330.0,,,81.25,,,,,143.6252673,,,904.8873412999999,22.0,,540.0,,127.0,,
Hammersmith and Fulham,2007,58.2,58.2,8.1,1.8,4.8,5.3,14.7,7.1,33535,35883,32081,53370.0,37060.0,,,75.63025209999999,,,,,131.5732807,,,1090.647341,27.0,,591.0,,103.0,,
Haringey,2007,50.6,50.6,8.2,2.9,9.1,6.5,16.6,6,26281,27584,25240,38790.0,29890.0,,,80.31496063,,,,,124.5264852,,,1000.635458,26.0,,602.0,,78.0,,
Harrow,2007,38.4,38.4,13.3,1.8,10.9,9.1,20.9,5.5,26107,27554,-,42480.0,33500.0,,,84.35114504,,,,,62.17666939,,,976.8448749,40.0,,608.0,,55.0,,
Havering,2007,20.5,20.5,16.6,3.4,16.7,20.8,10,12,26079,27754,23915,37510.0,30880.0,,,78.78787879,,,,,74.85127661,,,1280.888999,24.0,,1502.0,,129.0,,
Hillingdon,2007,30.8,30.8,12.9,3.7,12.1,14.4,16.2,9.9,30290,32665,26146,38640.0,31730.0,,,82.78688525,,,,,102.727439,,,2216.700429,34.0,,2127.0,,117.0,,
Hounslow,2007,37.3,37.3,9.5,2.1,10.8,10.7,20.5,8.9,27547,30467,24061,38890.0,30750.0,,,80.88235294,,,,,101.1890994,,,1595.653284,22.0,,1550.0,,103.0,,
Islington,2007,56.7,56.7,8.3,1,10.9,7.5,7.2,8.5,34779,40492,29424,46540.0,33610.0,,,80.55555556,,,,,160.2451282,,,1196.052417,26.0,,449.0,,112.0,,
Kensington and Chelsea,2007,57.5,57.5,9.4,2,5.9,3.3,16.2,5.6,28355,29908,27127,96700.0,46250.0,,,78.23343849,,,,,144.1832481,,,1362.910635,28.0,,546.0,,120.0,,
Kingston upon Thames,2007,54.0,54.0,12.1,1.9,11.9,7.6,8.1,4.3,27274,29251,23443,48770.0,37470.0,,,85.36585366,,,,,79.46402563,,,867.5058482000001,26.0,,949.0,,49.0,,
Lambeth,2007,53.8,53.8,9.6,!,8.4,5.6,12.7,9.5,30633,31747,28175,41170.0,32510.0,,,79.01554404,,,,,125.822911,,,1383.463969,25.0,,832.0,,185.0,,
Lewisham,2007,40.6,40.6,15.7,1.9,13.8,8.5,14.1,5.4,27673,28264,27244,36270.0,29970.0,,,79.67479675,,,,,118.8990306,,,1127.955384,22.0,,830.0,,124.0,,
Merton,2007,46.9,46.9,9.7,2.1,10.7,9.1,17,4.5,26346,27630,-,48500.0,35490.0,,,78.57142857,,,,,77.34479563,,,868.0810907,27.0,,637.0,,62.0,,
Newham,2007,31.7,31.7,10.3,0.9,10.2,10.3,23.4,13.1,27434,30096,23814,27720.0,23100.0,,,73.40425532,,,,,133.1205288,,,1535.3395460000002,14.0,,970.0,,105.0,,
Redbridge,2007,43.8,43.8,13.1,3.1,8.3,9.2,13,9.5,29429,31267,26655,38880.0,31470.0,,,79.25925926,,,,,86.71936607,,,1078.858526,22.0,,1079.0,,96.0,,
Richmond upon Thames,2007,59.8,59.8,10.7,3.4,9,5,8.4,3.6,30881,34369,27714,64040.0,44660.0,,,81.73076923,,,,,66.18207334,,,1025.764729,36.0,,845.0,,76.0,,
Southwark,2007,52.3,52.3,12.3,1.2,10.3,5.8,9.2,9,32000,34697,29247,40050.0,30890.0,,,77.80612245,,,,,146.827522,,,1706.632907,20.0,,832.0,,139.0,,
Sutton,2007,33.3,33.3,12.7,2.8,19.3,11.7,7.7,12.5,25182,26088,23652,41300.0,33480.0,,,82.18390805,,,,,72.43150499,,,861.3860453,32.0,,692.0,,70.0,,
Tower Hamlets,2007,41.7,41.7,8.4,1.4,7.8,12.3,18.6,9.8,41117,45570,35741,37790.0,28760.0,,,76.40117994,,,,,137.1447852,,,2335.587357,13.0,,980.0,,151.0,,
Waltham Forest,2007,36.5,36.5,14.9,2.6,10.7,10.6,12.4,12.2,25034,27522,21404,33280.0,27820.0,,,75.98039216,,,,,109.2695139,,,957.1647744999999,30.0,,727.0,,92.0,,
Wandsworth,2007,63.2,63.2,9.8,1.4,5.6,2.8,14.4,2.8,30513,32286,27928,55860.0,39960.0,,,78.62745098,,,,,93.66936591,,,1408.432844,25.0,,891.0,,166.0,,
Westminster,2007,62.7,62.7,8.8,0.6,6.5,4.5,10.9,5.9,35315,38113,30753,68780.0,40320.0,,,76.21145374,,,,,289.7937168,,,3434.144228,23.0,,965.0,,286.0,,
City of London,2008,69.4,69.4,!,!,!,!,!,!,50503,59525,37470,,,,13800.0,52.8,,,,37.03,-,,,1683.706823,34.0,,177.0,,51.0,,19.1
Barking and Dagenham,2008,26.0,26.0,10.6,2.5,12.2,14,17.2,17.5,29396,32409,22951,,,,3740.0,67.7,,,,0.48,115.8989168,,,903.3922582999999,25.0,,568.0,,63.0,,38.3
Barnet,2008,48.6,48.6,11,2.2,9.3,9.8,13.6,5.6,27978,30946,-,,,,19360.0,68.0,,,,0.63,77.75078712,,,1732.126145,31.0,,1688.0,,136.0,,23.7
Bexley,2008,28.1,28.1,15.5,4.5,20,16.7,7,8.2,28326,30998,22250,,,,6920.0,74.5,,,,0.51,71.34726365,,,1207.877501,51.0,,951.0,,73.0,,18.4
Brent,2008,31.4,31.4,10.7,1.8,9.1,6.2,35.7,5.1,27326,30180,23403,,,,12245.0,70.9,,,,0.63,93.54728928,,,1440.6381800000001,28.0,,872.0,,97.0,,34.1
Bromley,2008,36.4,36.4,18,4.4,15.8,12.7,7,5.8,27236,30175,24594,,,,12790.0,68.6,,,,0.66,86.4025078,,,1506.262432,36.0,,1253.0,,140.0,,16.9
Camden,2008,59.8,59.8,7.2,1.2,7,7.3,14.1,3.4,35314,37914,30990,,,,24375.0,67.9,,,,1.8,162.5268104,,,1721.8132219999998,28.0,,495.0,,123.0,,40.3
Croydon,2008,36.3,36.3,16.1,3.2,13.7,14.5,7.2,9.1,27482,29243,21857,,,,11930.0,72.8,,,,0.64,93.86844848,,,1669.565553,28.0,,1212.0,,132.0,,26.2
Ealing,2008,49.3,49.3,8.9,1.3,10.3,5.5,16.8,7.9,29439,32617,25556,,,,13885.0,71.1,,,,0.6,101.0641253,,,1696.538344,35.0,,1244.0,,113.0,,29.6
Enfield,2008,38.1,38.1,12.9,3.7,11.5,11.7,12.7,9.4,25550,27944,23717,,,,10195.0,73.0,,,,0.59,82.47966837,,,1558.397301,27.0,,1543.0,,85.0,,36.0
Greenwich,2008,42.4,42.4,13.4,2.6,14.6,9.8,10.3,7,30766,33129,26886,,,,6570.0,68.5,,,,0.54,119.6130937,,,1245.0989,42.0,,1090.0,,126.0,,33.4
Hackney,2008,56.1,56.1,8.6,1.7,8.7,4.7,10.6,9.6,31589,35852,29076,,,,10765.0,68.8,,,,0.65,128.6048797,,,905.7459342,23.0,,527.0,,162.0,,43.5
Hammersmith and Fulham,2008,58.1,58.1,9.3,0.8,7,7,12.4,5.4,-,-,30496,,,,11750.0,64.2,,,,1.09,129.4723527,,,1083.9303109999998,28.0,,562.0,,94.0,,35.8
Haringey,2008,52.5,52.5,6.3,3,5.3,5.7,18.2,9,29859,30359,29539,,,,9075.0,69.8,,,,0.49,111.998331,,,1030.08776,22.0,,572.0,,80.0,,39.2
Harrow,2008,34.8,34.8,11.6,2.4,13,5.7,27.2,5.4,27627,29373,26080,,,,10570.0,73.7,,,,0.51,65.54513497,,,975.9168358,43.0,,597.0,,52.0,,23.5
Havering,2008,23.0,23.0,15.1,4.3,19.2,20.6,6.6,11.1,28800,30346,24565,,,,7975.0,72.7,,,,0.59,77.74177822,,,1262.7783769999999,27.0,,1486.0,,84.0,,18.4
Hillingdon,2008,28.4,28.4,13.5,3.3,16.9,13,15.1,9.8,31291,35217,26444,,,,9865.0,75.2,,,,1.2,97.3756086,,,2332.0328050000003,35.0,,2135.0,,107.0,,25.0
Hounslow,2008,42.2,42.2,9.2,2.1,9,8.4,17.9,11.1,29475,32229,25969,,,,9775.0,73.5,,,,0.85,99.8205181,,,1537.281078,24.0,,1535.0,,102.0,,28.1
Islington,2008,57.4,57.4,8.3,0.5,8.6,6.5,11.2,7.6,36357,41245,31670,,,,13550.0,68.2,,,,1.45,152.9655524,,,1220.1928189999999,28.0,,437.0,,75.0,,46.0
Kensington and Chelsea,2008,61.1,61.1,5.8,2.1,5.3,3.6,17.7,4.5,30217,33761,29200,,,,12375.0,70.2,,,,1.08,135.1896616,,,1373.9961349999999,30.0,,530.0,,113.0,,28.4
Kingston upon Thames,2008,57.4,57.4,17.5,1.7,8.2,6.1,4.7,4.4,26583,28882,22495,,,,7405.0,71.6,,,,0.75,72.39772603,,,849.4034452,35.0,,925.0,,65.0,,15.7
Lambeth,2008,51.0,51.0,9.8,1.3,8.9,7,13.2,8.8,30566,33982,26551,,,,11305.0,68.6,,,,0.67,121.6978065,,,1385.071956,26.0,,807.0,,164.0,,35.5
Lewisham,2008,46.1,46.1,13.2,2.1,10,8.4,13.7,6.5,29403,29585,29021,,,,7470.0,70.0,,,,0.41,118.3941945,,,1076.9427,21.0,,809.0,,113.0,,33.5
Merton,2008,40.1,40.1,9.2,4,11.8,11.6,17.4,5.8,28363,28544,-,,,,8670.0,72.9,,,,0.57,77.33114128,,,955.9435499,30.0,,621.0,,64.0,,20.6
Newham,2008,30.8,30.8,10.7,0.7,10.2,8.3,27.5,11.8,29467,31726,23801,,,,5935.0,62.6,,,,0.47,121.235686,,,1535.832057,15.0,,951.0,,88.0,,42.6
Redbridge,2008,43.2,43.2,11.8,1.3,11.5,9.9,13.2,9,29283,32090,-,,,,8970.0,70.6,,,,0.48,91.95636123,,,1060.561487,26.0,,1024.0,,83.0,,28.6
Richmond upon Thames,2008,60.3,60.3,11.4,2.6,8.4,5.7,5,6.6,32437,35904,27067,,,,12040.0,76.6,,,,0.71,64.97127269,,,1008.76855,42.0,,816.0,,64.0,,11.5
Southwark,2008,54.1,54.1,10.6,0.9,6.4,7.1,12.6,8.4,31227,33116,29436,,,,12845.0,66.5,,,,1.18,141.7683312,,,1687.552416,21.0,,794.0,,165.0,,33.8
Sutton,2008,31.2,31.2,14.1,5,20.4,12.1,8.4,8.8,26082,26670,24027,,,,6905.0,74.2,,,,0.64,74.41622727,,,863.9141409,32.0,,640.0,,74.0,,16.9
Tower Hamlets,2008,47.2,47.2,9.9,1.2,10,5.8,14.6,11.3,41880,49074,37249,,,,11490.0,66.3,,,,1.33,119.494767,,,2388.15499,19.0,,944.0,,146.0,,57.0
Waltham Forest,2008,36.9,36.9,15.8,2,9.3,12.6,12.3,11.2,26609,31475,22811,,,,7180.0,70.9,,,,0.45,108.3858603,,,980.1092281,28.0,,696.0,,104.0,,34.2
Wandsworth,2008,61.7,61.7,7.6,0.9,5,5.6,13.2,6,30808,31459,30108,,,,15230.0,70.0,,,,0.61,85.244899,,,1327.3068369999999,27.0,,863.0,,116.0,,26.0
Westminster,2008,58.7,58.7,8.5,1,7.3,4.3,15.3,5,36048,40895,30500,,,,45965.0,63.6,,,,3.37,289.6150874,,,3483.506742,23.0,,910.0,,272.0,,40.7
City of London,2009,100.0,100.0,!,!,!,!,!,!,52092,62743,37858,,,,14895.0,59.2,,,,38.05,-,11.10813704,41.05995717,1476.367137,35.0,3762.0,169.0,,46.0,,17.5
Barking and Dagenham,2009,29.1,29.1,15.5,2.2,13.4,14.3,12.9,12.7,30973,32331,21436,,,,3895.0,67.5,,,,0.42,111.7411871,6.4252731160000005,7.562788602,817.9375968999999,33.0,65441.0,599.0,,45.0,,36.6
Barnet,2009,49.5,49.5,13.2,1.8,11.8,7.4,10.4,5.9,30496,32699,27915,,,,19920.0,67.8,,,,0.63,75.97107241,2.856903267,5.745903322,1582.9875,33.0,149799.0,1639.0,,137.0,,22.7
Bexley,2009,31.5,31.5,15.7,3.4,20.2,16,6.3,6.9,28222,32385,22052,,,,6900.0,76.4,,,,0.5,67.72417662,4.203448669,5.708186863,1097.483907,51.0,120987.0,950.0,,82.0,,19.3
Brent,2009,41.0,41.0,7.8,3.2,8.8,5.6,26.8,6.8,27503,29436,24046,,,,12475.0,70.9,,,,0.64,97.43121851,2.824384975,6.2954937310000005,1295.530915,29.0,104057.0,857.0,,101.0,,32.0
Bromley,2009,39.3,39.3,15.7,1.1,19.1,11.7,10.2,2.9,26951,29499,23652,,,,12880.0,73.9,,,,0.6,77.48172186,3.613272341,5.466174037,1382.621188,40.0,161773.0,1236.0,,127.0,,17.2
Camden,2009,62.6,62.6,7.1,1.2,8,5.1,11.3,4.7,36375,39651,32642,,,,25175.0,67.8,,,,1.77,158.6152806,4.034303319,8.232514887999999,1554.877732,30.0,58964.0,498.0,,141.0,,37.8
Croydon,2009,35.7,35.7,14.8,3.2,14.7,12.5,10.8,8.4,28225,30033,25209,,,,12090.0,72.9,,,,0.59,94.14252629,3.7248804439999996,6.3436358120000005,1509.16952,32.0,148705.0,1187.0,,107.0,,26.3
Ealing,2009,43.6,43.6,9.2,0.9,8.5,7.9,19.5,10.5,28234,31500,25502,,,,14150.0,72.2,,,,0.58,101.9923265,3.2670032669999998,6.094870381000001,1546.0043,38.0,131693.0,1240.0,,126.0,,28.7
Enfield,2009,43.7,43.7,16,2.8,9.9,10.5,10.4,6.6,27828,29831,23810,,,,10490.0,70.2,,,,0.56,80.99784416,3.616241295,6.34729825,1407.999199,31.0,133306.0,1553.0,,97.0,,34.8
Greenwich,2009,43.1,43.1,10.5,2.4,12.2,11,11.3,9.5,29871,32726,25466,,,,6695.0,75.5,,,,0.53,105.1495453,4.579927115,6.749647067000001,1144.079125,35.0,84753.0,1082.0,,99.0,,32.5
Hackney,2009,55.9,55.9,6.4,1.5,8.7,6.5,14.3,6.7,33107,36455,30833,,,,11230.0,74.2,,,,0.67,121.3792462,4.069782184,6.498127816,825.8180822,24.0,51134.0,514.0,,103.0,,40.3
Hammersmith and Fulham,2009,53.2,53.2,10.3,1.7,6.2,6.5,13.5,8.5,36525,40934,32698,,,,11850.0,69.6,,,,1.07,126.9570721,3.081347576,6.725110484,1018.595181,27.0,50882.0,567.0,,93.0,,33.8
Haringey,2009,52.7,52.7,10.1,0.8,6.9,4,16.7,8.8,28515,28045,28599,,,,9315.0,71.8,,,,0.47,103.0523809,3.486719641,6.977842717000001,930.050289,25.0,74470.0,554.0,,98.0,,36.4
Harrow,2009,37.9,37.9,10.5,3.5,10.8,7.9,25.3,4,27532,28319,26114,,,,11050.0,72.2,,,,0.51,65.92004111,2.132807983,4.854921947,875.0458207999999,46.0,107745.0,581.0,,49.0,,23.1
Havering,2009,19.0,19.0,20.2,2,18.7,23.1,4.6,12.4,28317,31065,24741,,,,8100.0,73.3,,,,0.54,73.26365605,3.899592956,5.849389434,1167.918011,34.0,125289.0,1521.0,,75.0,,19.3
Hillingdon,2009,37.0,37.0,16,2.7,13,11.8,10.5,9,31584,34565,26925,,,,10090.0,74.8,,,,1.13,90.96042008,3.816836994,7.35625694,2071.0235030000003,41.0,147352.0,2164.0,,88.0,,24.5
Hounslow,2009,39.8,39.8,10.8,2.7,12.2,7.7,14.9,11.9,31672,34234,28368,,,,10090.0,72.9,,,,0.84,95.0913439,4.573358645,6.12123304,1420.353979,33.0,106384.0,1533.0,,101.0,,27.2
Islington,2009,61.9,61.9,8.8,0.7,9.1,4.9,9.2,5.5,36981,39722,32891,,,,14010.0,70.6,,,,1.42,144.542053,3.945013828,7.223035627000001,1102.556742,29.0,45084.0,427.0,,77.0,,43.8
Kensington and Chelsea,2009,68.0,68.0,5.6,1.1,4.9,2.8,13.7,3.8,29901,33051,28355,,,,12335.0,71.4,,,,1.09,128.9926062,2.693136825,6.05770478,1271.591834,31.0,51983.0,528.0,,94.0,,27.2
Kingston upon Thames,2009,50.9,50.9,15.7,2,9.8,6.7,7.7,7.1,27497,29853,25268,,,,7620.0,78.5,,,,0.72,70.00324207,2.593654446,5.414889356000001,782.181946,46.0,73363.0,925.0,,52.0,,15.8
Lambeth,2009,57.0,57.0,8,1.4,6.8,6.1,14.2,6.5,33415,36579,30046,,,,11360.0,72.7,,,,0.71,120.5849345,3.376976705,7.33582724,1285.654823,27.0,74809.0,781.0,,173.0,,34.4
Lewisham,2009,45.1,45.1,12.8,2.1,11.9,9,15.1,4.1,30891,30683,31217,,,,7635.0,71.8,,,,0.4,109.2863641,3.361462625,6.599782558999999,986.7833392000001,17.0,85806.0,793.0,,112.0,,32.8
Merton,2009,45.2,45.2,12,1.1,9,8.9,17.6,6.3,27662,28891,25164,,,,8800.0,74.7,,,,0.55,74.89804982,2.9474704239999996,5.396798158999999,865.7350356000001,34.0,82506.0,609.0,,55.0,,19.9
Newham,2009,30.5,30.5,8,0.8,9.6,8.9,29.6,12.6,31028,33879,-,,,,6160.0,70.6,,,,0.5,119.5997863,5.543782969,6.9607990310000005,1467.04802,19.0,72877.0,975.0,,93.0,,39.2
Redbridge,2009,39.4,39.4,12.1,1.8,13.3,9.5,16,8,31235,-,27758,,,,9435.0,69.7,,,,0.45,88.87163274,3.043245142,5.790670586,982.4285174,32.0,113022.0,1028.0,,69.0,,27.1
Richmond upon Thames,2009,60.1,60.1,12.9,0.6,9.3,6.3,6.9,3.7,31733,34055,30004,,,,12170.0,76.8,,,,0.66,62.52372637,2.033688732,4.799505407,911.2610032,43.0,86573.0,798.0,,56.0,,11.5
