Code,Area,Count,Year,Mode,Type
00AE,Brent,10.0,2004,Diesel Cars,Personal
00AF,Bromley,18.1,2004,Diesel Cars,Personal
00AG,Camden,7.8,2004,Diesel Cars,Personal
00AH,Croydon,15.7,2004,Diesel Cars,Personal
00AJ,Ealing,13.4,2004,Diesel Cars,Personal
00AK,Enfield,15.7,2004,Diesel Cars,Personal
00AL,Greenwich,11.0,2004,Diesel Cars,Personal
00AM,Hackney,6.9,2004,Diesel Cars,Personal
00AN,Hammersmith and Fulham,7.3,2004,Diesel Cars,Personal
00AP,Haringey,8.7,2004,Diesel Cars,Personal
00AQ,Harrow,9.0,2004,Diesel Cars,Personal
00AR,Havering,14.5,2004,Diesel Cars,Personal
00AS,Hillingdon,20.1,2004,Diesel Cars,Personal
00AT,Hounslow,17.7,2004,Diesel Cars,Personal
00AU,Islington,5.8,2004,Diesel Cars,Personal
00AW,Kensington and Chelsea,7.4,2004,Diesel Cars,Personal
00AX,Kingston upon Thames,9.4,2004,Diesel Cars,Personal
00AY,Lambeth,10.1,2004,Diesel Cars,Personal
00AZ,Lewisham,11.0,2004,Diesel Cars,Personal
00BA,Merton,7.8,2004,Diesel Cars,Personal
00BB,Newham,12.1,2004,Diesel Cars,Personal
00BC,Redbridge,14.2,2004,Diesel Cars,Personal
00BD,Richmond upon Thames,10.5,2004,Diesel Cars,Personal
00BE,Southwark,10.7,2004,Diesel Cars,Personal
00BF,Sutton,8.6,2004,Diesel Cars,Personal
00BG,Tower Hamlets,9.6,2004,Diesel Cars,Personal
00BH,Waltham Forest,9.4,2004,Diesel Cars,Personal
00BJ,Wandsworth,11.6,2004,Diesel Cars,Personal
00BK,Westminster,12.8,2004,Diesel Cars,Personal
00AA,City of London,7.6,2004,Petrol Cars,Personal
00AB,Barking and Dagenham,33.1,2004,Petrol Cars,Personal
00AC,Barnet,93.8,2004,Petrol Cars,Personal
00AD,Bexley,57.8,2004,Petrol Cars,Personal
00AE,Brent,47.6,2004,Petrol Cars,Personal
00AF,Bromley,86.1,2004,Petrol Cars,Personal
00AG,Camden,38.0,2004,Petrol Cars,Personal
00AH,Croydon,74.9,2004,Petrol Cars,Personal
00AJ,Ealing,63.9,2004,Petrol Cars,Personal
00AK,Enfield,74.7,2004,Petrol Cars,Personal
00AL,Greenwich,52.3,2004,Petrol Cars,Personal
00AM,Hackney,33.0,2004,Petrol Cars,Personal
00AN,Hammersmith and Fulham,34.9,2004,Petrol Cars,Personal
00AP,Haringey,41.9,2004,Petrol Cars,Personal
00AQ,Harrow,42.9,2004,Petrol Cars,Personal
00AR,Havering,69.4,2004,Petrol Cars,Personal
00AS,Hillingdon,95.4,2004,Petrol Cars,Personal
00AT,Hounslow,83.4,2004,Petrol Cars,Personal
00AU,Islington,27.9,2004,Petrol Cars,Personal
00AW,Kensington and Chelsea,35.5,2004,Petrol Cars,Personal
00AX,Kingston upon Thames,44.6,2004,Petrol Cars,Personal
00AY,Lambeth,48.5,2004,Petrol Cars,Personal
00AZ,Lewisham,53.2,2004,Petrol Cars,Personal
00BA,Merton,37.3,2004,Petrol Cars,Personal
00BB,Newham,57.8,2004,Petrol Cars,Personal
00BC,Redbridge,67.2,2004,Petrol Cars,Personal
00BD,Richmond upon Thames,49.6,2004,Petrol Cars,Personal
00BE,Southwark,51.4,2004,Petrol Cars,Personal
00BF,Sutton,41.0,2004,Petrol Cars,Personal
00BG,Tower Hamlets,46.0,2004,Petrol Cars,Personal
00BH,Waltham Forest,44.7,2004,Petrol Cars,Personal
00BJ,Wandsworth,55.5,2004,Petrol Cars,Personal
00BK,Westminster,62.3,2004,Petrol Cars,Personal
00AA,City of London,0.4,2004,Motor-cycles,Personal
00AB,Barking and Dagenham,0.5,2004,Motor-cycles,Personal
00AC,Barnet,1.2,2004,Motor-cycles,Personal
00AD,Bexley,0.8,2004,Motor-cycles,Personal
00AE,Brent,0.6,2004,Motor-cycles,Personal
00AF,Bromley,1.3,2004,Motor-cycles,Personal
00AG,Camden,1.3,2004,Motor-cycles,Personal
00AH,Croydon,1.2,2004,Motor-cycles,Personal
00AJ,Ealing,0.9,2004,Motor-cycles,Personal
00AK,Enfield,0.8,2004,Motor-cycles,Personal
00AL,Greenwich,0.9,2004,Motor-cycles,Personal
00AM,Hackney,0.7,2004,Motor-cycles,Personal
00AN,Hammersmith and Fulham,1.1,2004,Motor-cycles,Personal
00AP,Haringey,0.8,2004,Motor-cycles,Personal
00AQ,Harrow,0.5,2004,Motor-cycles,Personal
00AR,Havering,0.9,2004,Motor-cycles,Personal
00AS,Hillingdon,1.1,2004,Motor-cycles,Personal
00AT,Hounslow,1.2,2004,Motor-cycles,Personal
00AU,Islington,1,2004,Motor-cycles,Personal
00AW,Kensington and Chelsea,1.2,2004,Motor-cycles,Personal
00AX,Kingston upon Thames,0.7,2004,Motor-cycles,Personal
00AY,Lambeth,1.7,2004,Motor-cycles,Personal
00AZ,Lewisham,1.2,2004,Motor-cycles,Personal
00BA,Merton,0.7,2004,Motor-cycles,Personal
00BB,Newham,1,2004,Motor-cycles,Personal
00BC,Redbridge,0.9,2004,Motor-cycles,Personal
00BD,Richmond upon Thames,0.9,2004,Motor-cycles,Personal
00BE,Southwark,1.7,2004,Motor-cycles,Personal
00BF,Sutton,0.7,2004,Motor-cycles,Personal
00BG,Tower Hamlets,1.6,2004,Motor-cycles,Personal
00BH,Waltham Forest,0.6,2004,Motor-cycles,Personal
00BJ,Wandsworth,1.8,2004,Motor-cycles,Personal
00BK,Westminster,3.1,2004,Motor-cycles,Personal
00AA,City of London,1.2,2004,HGV,Freight
00AB,Barking and Dagenham,9.4,2004,HGV,Freight
00AC,Barnet,16.1,2004,HGV,Freight
00AD,Bexley,11.3,2004,HGV,Freight
00AE,Brent,8.2,2004,HGV,Freight
00AF,Bromley,12.6,2004,HGV,Freight
00AG,Camden,6.7,2004,HGV,Freight
00AH,Croydon,13.5,2004,HGV,Freight
00AJ,Ealing,12.9,2004,HGV,Freight
00AK,Enfield,27.3,2004,HGV,Freight
00AL,Greenwich,12.0,2004,HGV,Freight
00AM,Hackney,6.5,2004,HGV,Freight
00AN,Hammersmith and Fulham,5.7,2004,HGV,Freight
00AP,Haringey,6.7,2004,HGV,Freight
00AQ,Harrow,6.0,2004,HGV,Freight
00AR,Havering,30.1,2004,HGV,Freight
00AS,Hillingdon,25.9,2004,HGV,Freight
00AT,Hounslow,17.2,2004,HGV,Freight
00AU,Islington,5.3,2004,HGV,Freight
00AW,Kensington and Chelsea,5.8,2004,HGV,Freight
00AX,Kingston upon Thames,7.2,2004,HGV,Freight
00AY,Lambeth,8.4,2004,HGV,Freight
00AZ,Lewisham,9.4,2004,HGV,Freight
00BA,Merton,7.0,2004,HGV,Freight
00BB,Newham,14.3,2004,HGV,Freight
00BC,Redbridge,14.9,2004,HGV,Freight
00BD,Richmond upon Thames,7.6,2004,HGV,Freight
00BE,Southwark,9.4,2004,HGV,Freight
00BF,Sutton,6.4,2004,HGV,Freight
00BG,Tower Hamlets,11.0,2004,HGV,Freight
00BH,Waltham Forest,9.5,2004,HGV,Freight
00BJ,Wandsworth,10.5,2004,HGV,Freight
00BK,Westminster,11.0,2004,HGV,Freight
00AA,City of London,1.9,2004,Diesel LGV ,Freight
00AB,Barking and Dagenham,8.3,2004,Diesel LGV ,Freight
00AC,Barnet,22.5,2004,Diesel LGV ,Freight
00AD,Bexley,14.7,2004,Diesel LGV ,Freight
00AE,Brent,11.6,2004,Diesel LGV ,Freight
00AF,Bromley,21.3,2004,Diesel LGV ,Freight
00AG,Camden,10.0,2004,Diesel LGV ,Freight
00AH,Croydon,18.8,2004,Diesel LGV ,Freight
00AJ,Ealing,15.4,2004,Diesel LGV ,Freight
00AK,Enfield,18.2,2004,Diesel LGV ,Freight
00AL,Greenwich,13.8,2004,Diesel LGV ,Freight
00AM,Hackney,9.2,2004,Diesel LGV ,Freight
00AN,Hammersmith and Fulham,9.1,2004,Diesel LGV ,Freight
00AP,Haringey,10.9,2004,Diesel LGV ,Freight
00AQ,Harrow,9.7,2004,Diesel LGV ,Freight
00AR,Havering,18.1,2004,Diesel LGV ,Freight
00AS,Hillingdon,21.5,2004,Diesel LGV ,Freight
00AT,Hounslow,18.0,2004,Diesel LGV ,Freight
00AU,Islington,8.1,2004,Diesel LGV ,Freight
00AW,Kensington and Chelsea,9.3,2004,Diesel LGV ,Freight
00AX,Kingston upon Thames,9.8,2004,Diesel LGV ,Freight
00AY,Lambeth,13.8,2004,Diesel LGV ,Freight
00AZ,Lewisham,14.1,2004,Diesel LGV ,Freight
00BA,Merton,9.5,2004,Diesel LGV ,Freight
00BB,Newham,15.0,2004,Diesel LGV ,Freight
00BC,Redbridge,16.8,2004,Diesel LGV ,Freight
00BD,Richmond upon Thames,11.1,2004,Diesel LGV ,Freight
00BE,Southwark,14.4,2004,Diesel LGV ,Freight
00BF,Sutton,10.2,2004,Diesel LGV ,Freight
00BG,Tower Hamlets,14.0,2004,Diesel LGV ,Freight
00BH,Waltham Forest,11.9,2004,Diesel LGV ,Freight
00BJ,Wandsworth,14.8,2004,Diesel LGV ,Freight
00BK,Westminster,15.7,2004,Diesel LGV ,Freight
00AA,City of London,0.2,2004,Petrol LGV,Freight
00AB,Barking and Dagenham,1.0,2004,Petrol LGV,Freight
00AC,Barnet,2.6,2004,Petrol LGV,Freight
00AD,Bexley,1.7,2004,Petrol LGV,Freight
00AE,Brent,1.3,2004,Petrol LGV,Freight
00AF,Bromley,2.5,2004,Petrol LGV,Freight
00AG,Camden,1.2,2004,Petrol LGV,Freight
00AH,Croydon,2.2,2004,Petrol LGV,Freight
00AJ,Ealing,1.8,2004,Petrol LGV,Freight
00AK,Enfield,2.1,2004,Petrol LGV,Freight
00AL,Greenwich,1.6,2004,Petrol LGV,Freight
00AM,Hackney,1.1,2004,Petrol LGV,Freight
00AN,Hammersmith and Fulham,1.0,2004,Petrol LGV,Freight
00AP,Haringey,1.3,2004,Petrol LGV,Freight
00AQ,Harrow,1.1,2004,Petrol LGV,Freight
00AR,Havering,2.1,2004,Petrol LGV,Freight
00AS,Hillingdon,2.4,2004,Petrol LGV,Freight
00AT,Hounslow,2.0,2004,Petrol LGV,Freight
00AU,Islington,0.9,2004,Petrol LGV,Freight
00AW,Kensington and Chelsea,1.1,2004,Petrol LGV,Freight
00AX,Kingston upon Thames,1.1,2004,Petrol LGV,Freight
00AY,Lambeth,1.6,2004,Petrol LGV,Freight
00AZ,Lewisham,1.6,2004,Petrol LGV,Freight
00BA,Merton,1.1,2004,Petrol LGV,Freight
00BB,Newham,1.7,2004,Petrol LGV,Freight
00BC,Redbridge,1.9,2004,Petrol LGV,Freight
00BD,Richmond upon Thames,1.3,2004,Petrol LGV,Freight
00BE,Southwark,1.7,2004,Petrol LGV,Freight
00BF,Sutton,1.2,2004,Petrol LGV,Freight
00BG,Tower Hamlets,1.6,2004,Petrol LGV,Freight
00BH,Waltham Forest,1.4,2004,Petrol LGV,Freight
00BJ,Wandsworth,1.7,2004,Petrol LGV,Freight
00BK,Westminster,1.8,2004,Petrol LGV,Freight
00AA,City of London,1.7,2005,Buses,Personal
00AB,Barking and Dagenham,1.8,2005,Buses,Personal
00AC,Barnet,5.2,2005,Buses,Personal
00AD,Bexley,3.3,2005,Buses,Personal
00AE,Brent,3.8,2005,Buses,Personal
00AF,Bromley,5.4,2005,Buses,Personal
00AG,Camden,4.4,2005,Buses,Personal
00AH,Croydon,5.3,2005,Buses,Personal
00AJ,Ealing,4.3,2005,Buses,Personal
00AK,Enfield,4.1,2005,Buses,Personal
00AL,Greenwich,4.9,2005,Buses,Personal
00AM,Hackney,4.3,2005,Buses,Personal
00AN,Hammersmith and Fulham,3.5,2005,Buses,Personal
00AP,Haringey,4.3,2005,Buses,Personal
00AQ,Harrow,2.4,2005,Buses,Personal
00AR,Havering,3.7,2005,Buses,Personal
00AS,Hillingdon,6.4,2005,Buses,Personal
00AT,Hounslow,5.7,2005,Buses,Personal
00AU,Islington,3.8,2005,Buses,Personal
00AW,Kensington and Chelsea,3.8,2005,Buses,Personal
00AX,Kingston upon Thames,3.0,2005,Buses,Personal
00AY,Lambeth,7.7,2005,Buses,Personal
00AZ,Lewisham,5.7,2005,Buses,Personal
00BA,Merton,3.0,2005,Buses,Personal
00BB,Newham,4.3,2005,Buses,Personal
00BC,Redbridge,3.2,2005,Buses,Personal
00BD,Richmond upon Thames,4.0,2005,Buses,Personal
00BE,Southwark,7.4,2005,Buses,Personal
00BF,Sutton,2.7,2005,Buses,Personal
00BG,Tower Hamlets,4.3,2005,Buses,Personal
00BH,Waltham Forest,2.6,2005,Buses,Personal
00BJ,Wandsworth,4.7,2005,Buses,Personal
00BK,Westminster,11.3,2005,Buses,Personal
00AA,City of London,2.2,2005,Diesel Cars,Personal
00AB,Barking and Dagenham,6.4,2005,Diesel Cars,Personal
00AC,Barnet,19.1,2005,Diesel Cars,Personal
00AD,Bexley,9.7,2005,Diesel Cars,Personal
00AE,Brent,9.8,2005,Diesel Cars,Personal
00AF,Bromley,14.4,2005,Diesel Cars,Personal
00AG,Camden,5.9,2005,Diesel Cars,Personal
00AH,Croydon,13.6,2005,Diesel Cars,Personal
00AJ,Ealing,13.2,2005,Diesel Cars,Personal
00AK,Enfield,17.8,2005,Diesel Cars,Personal
00AL,Greenwich,11.7,2005,Diesel Cars,Personal
00AM,Hackney,6.0,2005,Diesel Cars,Personal
00AN,Hammersmith and Fulham,6.6,2005,Diesel Cars,Personal
00AP,Haringey,7.1,2005,Diesel Cars,Personal
00AQ,Harrow,7.3,2005,Diesel Cars,Personal
00AR,Havering,17.3,2005,Diesel Cars,Personal
00AS,Hillingdon,27.5,2005,Diesel Cars,Personal
00AT,Hounslow,20.2,2005,Diesel Cars,Personal
00AU,Islington,5.0,2005,Diesel Cars,Personal
00AW,Kensington and Chelsea,6.3,2005,Diesel Cars,Personal
00AX,Kingston upon Thames,10.3,2005,Diesel Cars,Personal
00AY,Lambeth,9.6,2005,Diesel Cars,Personal
00AZ,Lewisham,9.9,2005,Diesel Cars,Personal
00BA,Merton,6.7,2005,Diesel Cars,Personal
00BB,Newham,10.4,2005,Diesel Cars,Personal
00BC,Redbridge,11.3,2005,Diesel Cars,Personal
00BD,Richmond upon Thames,9.1,2005,Diesel Cars,Personal
00BE,Southwark,9.5,2005,Diesel Cars,Personal
00BF,Sutton,7.4,2005,Diesel Cars,Personal
00BG,Tower Hamlets,10.4,2005,Diesel Cars,Personal
00BH,Waltham Forest,7.4,2005,Diesel Cars,Personal
00BJ,Wandsworth,9.8,2005,Diesel Cars,Personal
00BK,Westminster,11.4,2005,Diesel Cars,Personal
00AA,City of London,9.3,2005,Petrol Cars,Personal
00AB,Barking and Dagenham,25.0,2005,Petrol Cars,Personal
00AC,Barnet,62.9,2005,Petrol Cars,Personal
00AD,Bexley,37.3,2005,Petrol Cars,Personal
00AE,Brent,39.4,2005,Petrol Cars,Personal
00AF,Bromley,55.4,2005,Petrol Cars,Personal
00AG,Camden,24.4,2005,Petrol Cars,Personal
00AH,Croydon,54.5,2005,Petrol Cars,Personal
00AJ,Ealing,52.2,2005,Petrol Cars,Personal
00AK,Enfield,54.9,2005,Petrol Cars,Personal
00AL,Greenwich,46.9,2005,Petrol Cars,Personal
00AM,Hackney,24.6,2005,Petrol Cars,Personal
00AN,Hammersmith and Fulham,26.8,2005,Petrol Cars,Personal
00AP,Haringey,29.2,2005,Petrol Cars,Personal
00AQ,Harrow,27.9,2005,Petrol Cars,Personal
00AR,Havering,51.7,2005,Petrol Cars,Personal
00AS,Hillingdon,86.0,2005,Petrol Cars,Personal
00AT,Hounslow,64.1,2005,Petrol Cars,Personal
00AU,Islington,20.4,2005,Petrol Cars,Personal
00AW,Kensington and Chelsea,25.6,2005,Petrol Cars,Personal
00AX,Kingston upon Thames,40.1,2005,Petrol Cars,Personal
00AY,Lambeth,39.2,2005,Petrol Cars,Personal
00AZ,Lewisham,40.3,2005,Petrol Cars,Personal
00BA,Merton,27.1,2005,Petrol Cars,Personal
00BB,Newham,42.6,2005,Petrol Cars,Personal
00BC,Redbridge,42.0,2005,Petrol Cars,Personal
00BD,Richmond upon Thames,36.7,2005,Petrol Cars,Personal
00BE,Southwark,38.9,2005,Petrol Cars,Personal
00BF,Sutton,29.8,2005,Petrol Cars,Personal
00BG,Tower Hamlets,42.7,2005,Petrol Cars,Personal
00BH,Waltham Forest,29.8,2005,Petrol Cars,Personal
00BJ,Wandsworth,40.1,2005,Petrol Cars,Personal
00BK,Westminster,47.1,2005,Petrol Cars,Personal
00AA,City of London,0.7,2005,Motor-cycles,Personal
00AB,Barking and Dagenham,0.4,2005,Motor-cycles,Personal
00AC,Barnet,0.9,2005,Motor-cycles,Personal
00AD,Bexley,0.6,2005,Motor-cycles,Personal
00AE,Brent,0.6,2005,Motor-cycles,Personal
00AF,Bromley,1.0,2005,Motor-cycles,Personal
00AG,Camden,1.2,2005,Motor-cycles,Personal
00AH,Croydon,1.0,2005,Motor-cycles,Personal
00AJ,Ealing,0.9,2005,Motor-cycles,Personal
00AK,Enfield,0.7,2005,Motor-cycles,Personal
00AL,Greenwich,1.0,2005,Motor-cycles,Personal
00AM,Hackney,0.8,2005,Motor-cycles,Personal
00AN,Hammersmith and Fulham,1.1,2005,Motor-cycles,Personal
00AP,Haringey,0.8,2005,Motor-cycles,Personal
00AQ,Harrow,0.4,2005,Motor-cycles,Personal
00AR,Havering,0.8,2005,Motor-cycles,Personal
00AS,Hillingdon,1.3,2005,Motor-cycles,Personal
00AT,Hounslow,1.1,2005,Motor-cycles,Personal
00AU,Islington,1.0,2005,Motor-cycles,Personal
00AW,Kensington and Chelsea,1.3,2005,Motor-cycles,Personal
00AX,Kingston upon Thames,0.8,2005,Motor-cycles,Personal
00AY,Lambeth,1.7,2005,Motor-cycles,Personal
00AZ,Lewisham,1.2,2005,Motor-cycles,Personal
00BA,Merton,0.6,2005,Motor-cycles,Personal
00BB,Newham,0.8,2005,Motor-cycles,Personal
00BC,Redbridge,0.6,2005,Motor-cycles,Personal
00BD,Richmond upon Thames,0.7,2005,Motor-cycles,Personal
00BE,Southwark,1.6,2005,Motor-cycles,Personal
00BF,Sutton,0.6,2005,Motor-cycles,Personal
00BG,Tower Hamlets,1.8,2005,Motor-cycles,Personal
00BH,Waltham Forest,0.4,2005,Motor-cycles,Personal
00BJ,Wandsworth,1.6,2005,Motor-cycles,Personal
00BK,Westminster,3.1,2005,Motor-cycles,Personal
00AA,City of London,1.3,2005,HGV,Freight
00AB,Barking and Dagenham,8.3,2005,HGV,Freight
00AC,Barnet,11.7,2005,HGV,Freight
00AD,Bexley,7.1,2005,HGV,Freight
00AE,Brent,6.7,2005,HGV,Freight
00AF,Bromley,6.4,2005,HGV,Freight
00AG,Camden,3.4,2005,HGV,Freight
00AH,Croydon,7.7,2005,HGV,Freight
00AJ,Ealing,10.6,2005,HGV,Freight
00AK,Enfield,29.3,2005,HGV,Freight
00AL,Greenwich,10.2,2005,HGV,Freight
00AM,Hackney,4.0,2005,HGV,Freight
00AN,Hammersmith and Fulham,4.0,2005,HGV,Freight
00AP,Haringey,3.8,2005,HGV,Freight
00AQ,Harrow,3.0,2005,HGV,Freight
00AR,Havering,33.0,2005,HGV,Freight
00AS,Hillingdon,20.3,2005,HGV,Freight
00AT,Hounslow,11.9,2005,HGV,Freight
00AU,Islington,3.0,2005,HGV,Freight
00AW,Kensington and Chelsea,3.5,2005,HGV,Freight
00AX,Kingston upon Thames,5.0,2005,HGV,Freight
00AY,Lambeth,5.0,2005,HGV,Freight
00AZ,Lewisham,5.1,2005,HGV,Freight
00BA,Merton,4.1,2005,HGV,Freight
00BB,Newham,9.7,2005,HGV,Freight
00BC,Redbridge,11.0,2005,HGV,Freight
00BD,Richmond upon Thames,4.6,2005,HGV,Freight
00BE,Southwark,5.3,2005,HGV,Freight
00BF,Sutton,3.4,2005,HGV,Freight
00BG,Tower Hamlets,8.8,2005,HGV,Freight
00BH,Waltham Forest,7.2,2005,HGV,Freight
00BJ,Wandsworth,5.8,2005,HGV,Freight
00BK,Westminster,6.9,2005,HGV,Freight
00AA,City of London,2.9,2005,Diesel LGV,Freight
00AB,Barking and Dagenham,5.9,2005,Diesel LGV,Freight
00AC,Barnet,16.5,2005,Diesel LGV,Freight
00AD,Bexley,9.2,2005,Diesel LGV,Freight
00AE,Brent,9.0,2005,Diesel LGV,Freight
00AF,Bromley,13.3,2005,Diesel LGV,Freight
00AG,Camden,7.3,2005,Diesel LGV,Freight
00AH,Croydon,13.0,2005,Diesel LGV,Freight
00AJ,Ealing,12.3,2005,Diesel LGV,Freight
00AK,Enfield,15.5,2005,Diesel LGV,Freight
00AL,Greenwich,12.7,2005,Diesel LGV,Freight
00AM,Hackney,7.8,2005,Diesel LGV,Freight
00AN,Hammersmith and Fulham,8.2,2005,Diesel LGV,Freight
00AP,Haringey,8.5,2005,Diesel LGV,Freight
00AQ,Harrow,5.9,2005,Diesel LGV,Freight
00AR,Havering,15.0,2005,Diesel LGV,Freight
00AS,Hillingdon,20.0,2005,Diesel LGV,Freight
00AT,Hounslow,14.8,2005,Diesel LGV,Freight
00AU,Islington,6.5,2005,Diesel LGV,Freight
00AW,Kensington and Chelsea,8.4,2005,Diesel LGV,Freight
00AX,Kingston upon Thames,8.6,2005,Diesel LGV,Freight
00AY,Lambeth,12.2,2005,Diesel LGV,Freight
00AZ,Lewisham,11.9,2005,Diesel LGV,Freight
00BA,Merton,6.8,2005,Diesel LGV,Freight
00BB,Newham,12.4,2005,Diesel LGV,Freight
00BC,Redbridge,11.0,2005,Diesel LGV,Freight
00BD,Richmond upon Thames,7.8,2005,Diesel LGV,Freight
00BE,Southwark,12.8,2005,Diesel LGV,Freight
00BF,Sutton,7.3,2005,Diesel LGV,Freight
00BG,Tower Hamlets,14.4,2005,Diesel LGV,Freight
00BH,Waltham Forest,7.4,2005,Diesel LGV,Freight
00BJ,Wandsworth,11.1,2005,Diesel LGV,Freight
00BK,Westminster,15.3,2005,Diesel LGV,Freight
00AA,City of London,0.3,2005,Petrol LGV,Freight
00AB,Barking and Dagenham,0.5,2005,Petrol LGV,Freight
00AC,Barnet,1.4,2005,Petrol LGV,Freight
00AD,Bexley,0.8,2005,Petrol LGV,Freight
00AE,Brent,0.8,2005,Petrol LGV,Freight
00AF,Bromley,1.2,2005,Petrol LGV,Freight
00AG,Camden,0.6,2005,Petrol LGV,Freight
00AH,Croydon,1.1,2005,Petrol LGV,Freight
00AJ,Ealing,1.1,2005,Petrol LGV,Freight
00AK,Enfield,1.3,2005,Petrol LGV,Freight
00AL,Greenwich,1.1,2005,Petrol LGV,Freight
00AM,Hackney,0.7,2005,Petrol LGV,Freight
00AN,Hammersmith and Fulham,0.7,2005,Petrol LGV,Freight
00AP,Haringey,0.7,2005,Petrol LGV,Freight
00AQ,Harrow,0.5,2005,Petrol LGV,Freight
00AR,Havering,1.3,2005,Petrol LGV,Freight
00AS,Hillingdon,1.7,2005,Petrol LGV,Freight
00AT,Hounslow,1.3,2005,Petrol LGV,Freight
00AU,Islington,0.6,2005,Petrol LGV,Freight
00AW,Kensington and Chelsea,0.7,2005,Petrol LGV,Freight
00AX,Kingston upon Thames,0.8,2005,Petrol LGV,Freight
00AY,Lambeth,1.1,2005,Petrol LGV,Freight
00AZ,Lewisham,1.0,2005,Petrol LGV,Freight
00BA,Merton,0.6,2005,Petrol LGV,Freight
00BB,Newham,1.1,2005,Petrol LGV,Freight
00BC,Redbridge,1.0,2005,Petrol LGV,Freight
00BD,Richmond upon Thames,0.7,2005,Petrol LGV,Freight
00BE,Southwark,1.1,2005,Petrol LGV,Freight
00BF,Sutton,0.6,2005,Petrol LGV,Freight
00BG,Tower Hamlets,1.3,2005,Petrol LGV,Freight
00BH,Waltham Forest,0.6,2005,Petrol LGV,Freight
00BJ,Wandsworth,1.0,2005,Petrol LGV,Freight
00BK,Westminster,1.4,2005,Petrol LGV,Freight
00AA,City of London,1.7,2006,Buses,Personal
00AB,Barking and Dagenham,1.9,2006,Buses,Personal
00AC,Barnet,5.5,2006,Buses,Personal
00AD,Bexley,3.5,2006,Buses,Personal
00AE,Brent,3.9,2006,Buses,Personal
00AF,Bromley,5.6,2006,Buses,Personal
00AG,Camden,4.5,2006,Buses,Personal
00AH,Croydon,5.1,2006,Buses,Personal
00AJ,Ealing,4.5,2006,Buses,Personal
00AK,Enfield,3.9,2006,Buses,Personal
00AL,Greenwich,5.0,2006,Buses,Personal
00AM,Hackney,4.4,2006,Buses,Personal
00AN,Hammersmith and Fulham,3.7,2006,Buses,Personal
00AP,Haringey,4.3,2006,Buses,Personal
00AQ,Harrow,2.4,2006,Buses,Personal
00AR,Havering,4.2,2006,Buses,Personal
00AS,Hillingdon,6.3,2006,Buses,Personal
00AT,Hounslow,5.8,2006,Buses,Personal
00AU,Islington,3.9,2006,Buses,Personal
00AW,Kensington and Chelsea,4.0,2006,Buses,Personal
00AX,Kingston upon Thames,2.9,2006,Buses,Personal
00AY,Lambeth,7.9,2006,Buses,Personal
00AZ,Lewisham,5.8,2006,Buses,Personal
00BA,Merton,2.9,2006,Buses,Personal
00BB,Newham,4.5,2006,Buses,Personal
00BC,Redbridge,3.4,2006,Buses,Personal
00BD,Richmond upon Thames,4.0,2006,Buses,Personal
00BE,Southwark,7.6,2006,Buses,Personal
00BF,Sutton,2.6,2006,Buses,Personal
00BG,Tower Hamlets,4.5,2006,Buses,Personal
00BH,Waltham Forest,2.6,2006,Buses,Personal
00BJ,Wandsworth,4.8,2006,Buses,Personal
00BK,Westminster,11.4,2006,Buses,Personal
00AA,City of London,2.3,2006,Diesel Cars,Personal
00AB,Barking and Dagenham,7.1,2006,Diesel Cars,Personal
00AC,Barnet,20.7,2006,Diesel Cars,Personal
00AD,Bexley,10.4,2006,Diesel Cars,Personal
00AE,Brent,10.4,2006,Diesel Cars,Personal
00AF,Bromley,15.7,2006,Diesel Cars,Personal
00AG,Camden,6.5,2006,Diesel Cars,Personal
00AH,Croydon,14.6,2006,Diesel Cars,Personal
00AJ,Ealing,14.0,2006,Diesel Cars,Personal
00AK,Enfield,19.9,2006,Diesel Cars,Personal
00AL,Greenwich,12.6,2006,Diesel Cars,Personal
00AM,Hackney,6.6,2006,Diesel Cars,Personal
00AN,Hammersmith and Fulham,7.0,2006,Diesel Cars,Personal
00AP,Haringey,7.8,2006,Diesel Cars,Personal
00AQ,Harrow,7.8,2006,Diesel Cars,Personal
00AR,Havering,19.6,2006,Diesel Cars,Personal
00AS,Hillingdon,29.5,2006,Diesel Cars,Personal
00AT,Hounslow,22.4,2006,Diesel Cars,Personal
00AU,Islington,5.4,2006,Diesel Cars,Personal
00AW,Kensington and Chelsea,6.8,2006,Diesel Cars,Personal
00AX,Kingston upon Thames,10.8,2006,Diesel Cars,Personal
00AY,Lambeth,10.3,2006,Diesel Cars,Personal
00AZ,Lewisham,10.6,2006,Diesel Cars,Personal
00BA,Merton,7.2,2006,Diesel Cars,Personal
00BB,Newham,11.5,2006,Diesel Cars,Personal
00BC,Redbridge,12.3,2006,Diesel Cars,Personal
00BD,Richmond upon Thames,9.7,2006,Diesel Cars,Personal
00BE,Southwark,10.3,2006,Diesel Cars,Personal
00BF,Sutton,7.8,2006,Diesel Cars,Personal
00BG,Tower Hamlets,11.5,2006,Diesel Cars,Personal
00BH,Waltham Forest,7.8,2006,Diesel Cars,Personal
00BJ,Wandsworth,10.6,2006,Diesel Cars,Personal
00BK,Westminster,12.3,2006,Diesel Cars,Personal
00AA,City of London,8.8,2006,Petrol Cars,Personal
00AB,Barking and Dagenham,25.4,2006,Petrol Cars,Personal
00AC,Barnet,62.0,2006,Petrol Cars,Personal
00AD,Bexley,36.2,2006,Petrol Cars,Personal
