Category,Forecast Created,Forecast Year,Growth Rate (% change on previous year),Levels (GBPbn)
Other (public & private) Services employment,May-15,2017,0.0,1.52
Manufacturing employment,May-15,2017,-0.1,0.13
Construction employment,May-15,2017,2.0,0.30
Non-manufacturing employment,May-15,2017,0.7,5.61
"Gross value added at basic prices, 2013 KP",May-15,2017,2.5,369.89
Financial & Business Services Output,May-15,2017,3.3,210.19
"Distribution, Accommodation and Food Service Activities Output",May-15,2017,2.3,42.53
Transportation & Storage Output,May-15,2017,2.5,18.38
Other (public & private) Services output,May-15,2017,0.6,64.63
Manufacturing Output,May-15,2017,0.5,8.30
Construction Output,May-15,2017,3.5,17.43
Non-manufacturing Output,May-15,2017,2.5,361.59
Civilian Workforce Jobs ,May-15,2017,0.7,5.74
Household Disposable Income,May-15,2017,2.8,202.33
Household Spending,May-15,2017,2.4,165.30
Financial Services employment,May-15,2017,0.1,0.36
Financial Services output,May-15,2017,2.5,56.22
Business Services employment,May-15,2017,1.4,2.01
Business Services output,May-15,2017,3.6,153.97
