Borough,Callout_type,Date,Number of reported incidents
MERTON,ACCIDENTAL FIRES IN RUBBISH,201302,4
MERTON,ACCIDENTAL OPEN LAND FIRES,201302,3
MERTON,ACCIDENTAL VEHICLE FIRES,201302,2
MERTON,ALL DELIBERATE FIRES,201302,3
MERTON,ALL FALSE ALARMS,201302,60
MERTON,ALL FIRES,201302,23
MERTON,ALL SPECIAL SERVICES,201302,24
MERTON,CARE HOME FIRES,201302,0
MERTON,DELIBERATE FIRES IN RUBBISH,201302,0
MERTON,DELIBERATE OPEN LAND FIRES,201302,0
MERTON,DELIBERATE VEHICLE FIRES,201302,1
MERTON,FALSE ALARMS AFAS DOM,201302,16
MERTON,FALSE ALARMS AFAS NONDOM,201302,34
MERTON,FALSE ALARMS GOOD INTENT,201302,8
MERTON,MALICIOUS FALSE ALARMS,201302,2
MERTON,NONDOMFIRES NONRRO,201302,2
MERTON,NONDOMFIRES RRO,201302,2
MERTON,PRIMARY FIRES,201302,15
MERTON,PRIMARY FIRES IN DWELLINGS,201302,8
MERTON,ROAD TRAFFIC COLLISIONS,201302,1
MERTON,RUBBISH FIRES,201302,4
MERTON,SECONDARY FIRES,201302,8
MERTON,SHUT-IN-LIFT RELEASES,201302,3
MERTON,SPECIAL SERVICE ENTRY & EXIT,201302,7
NEWHAM,ACCIDENTAL FIRES IN RUBBISH,201302,8
NEWHAM,ACCIDENTAL OPEN LAND FIRES,201302,5
NEWHAM,ACCIDENTAL VEHICLE FIRES,201302,3
NEWHAM,ALL DELIBERATE FIRES,201302,13
NEWHAM,ALL FALSE ALARMS,201302,118
NEWHAM,ALL FIRES,201302,51
NEWHAM,ALL SPECIAL SERVICES,201302,62
NEWHAM,CARE HOME FIRES,201302,1
NEWHAM,DELIBERATE FIRES IN RUBBISH,201302,10
NEWHAM,DELIBERATE OPEN LAND FIRES,201302,2
NEWHAM,DELIBERATE VEHICLE FIRES,201302,1
NEWHAM,FALSE ALARMS AFAS DOM,201302,28
NEWHAM,FALSE ALARMS AFAS NONDOM,201302,51
NEWHAM,FALSE ALARMS GOOD INTENT,201302,24
NEWHAM,MALICIOUS FALSE ALARMS,201302,15
NEWHAM,NONDOMFIRES NONRRO,201302,0
NEWHAM,NONDOMFIRES RRO,201302,5
NEWHAM,PRIMARY FIRES,201302,26
NEWHAM,PRIMARY FIRES IN DWELLINGS,201302,16
NEWHAM,ROAD TRAFFIC COLLISIONS,201302,9
NEWHAM,RUBBISH FIRES,201302,18
NEWHAM,SECONDARY FIRES,201302,25
NEWHAM,SHUT-IN-LIFT RELEASES,201302,12
NEWHAM,SPECIAL SERVICE ENTRY & EXIT,201302,14
REDBRIDGE,ACCIDENTAL FIRES IN RUBBISH,201302,8
REDBRIDGE,ACCIDENTAL OPEN LAND FIRES,201302,0
REDBRIDGE,ACCIDENTAL VEHICLE FIRES,201302,0
REDBRIDGE,ALL DELIBERATE FIRES,201302,2
REDBRIDGE,ALL FALSE ALARMS,201302,53
REDBRIDGE,ALL FIRES,201302,30
REDBRIDGE,ALL SPECIAL SERVICES,201302,72
REDBRIDGE,CARE HOME FIRES,201302,1
REDBRIDGE,DELIBERATE FIRES IN RUBBISH,201302,2
REDBRIDGE,DELIBERATE OPEN LAND FIRES,201302,0
REDBRIDGE,DELIBERATE VEHICLE FIRES,201302,0
REDBRIDGE,FALSE ALARMS AFAS DOM,201302,18
REDBRIDGE,FALSE ALARMS AFAS NONDOM,201302,20
REDBRIDGE,FALSE ALARMS GOOD INTENT,201302,13
REDBRIDGE,MALICIOUS FALSE ALARMS,201302,2
REDBRIDGE,NONDOMFIRES NONRRO,201302,0
REDBRIDGE,NONDOMFIRES RRO,201302,1
REDBRIDGE,PRIMARY FIRES,201302,20
REDBRIDGE,PRIMARY FIRES IN DWELLINGS,201302,19
REDBRIDGE,ROAD TRAFFIC COLLISIONS,201302,14
REDBRIDGE,RUBBISH FIRES,201302,10
REDBRIDGE,SECONDARY FIRES,201302,10
REDBRIDGE,SHUT-IN-LIFT RELEASES,201302,7
REDBRIDGE,SPECIAL SERVICE ENTRY & EXIT,201302,12
RICHMOND UPON THAMES,ACCIDENTAL FIRES IN RUBBISH,201302,3
RICHMOND UPON THAMES,ACCIDENTAL OPEN LAND FIRES,201302,1
RICHMOND UPON THAMES,ACCIDENTAL VEHICLE FIRES,201302,2
RICHMOND UPON THAMES,ALL DELIBERATE FIRES,201302,0
RICHMOND UPON THAMES,ALL FALSE ALARMS,201302,62
RICHMOND UPON THAMES,ALL FIRES,201302,22
RICHMOND UPON THAMES,ALL SPECIAL SERVICES,201302,30
RICHMOND UPON THAMES,CARE HOME FIRES,201302,1
RICHMOND UPON THAMES,DELIBERATE FIRES IN RUBBISH,201302,0
RICHMOND UPON THAMES,DELIBERATE OPEN LAND FIRES,201302,0
RICHMOND UPON THAMES,DELIBERATE VEHICLE FIRES,201302,0
RICHMOND UPON THAMES,FALSE ALARMS AFAS DOM,201302,29
RICHMOND UPON THAMES,FALSE ALARMS AFAS NONDOM,201302,25
RICHMOND UPON THAMES,FALSE ALARMS GOOD INTENT,201302,7
RICHMOND UPON THAMES,MALICIOUS FALSE ALARMS,201302,1
RICHMOND UPON THAMES,NONDOMFIRES NONRRO,201302,1
RICHMOND UPON THAMES,NONDOMFIRES RRO,201302,6
RICHMOND UPON THAMES,PRIMARY FIRES,201302,17
RICHMOND UPON THAMES,PRIMARY FIRES IN DWELLINGS,201302,7
RICHMOND UPON THAMES,ROAD TRAFFIC COLLISIONS,201302,3
RICHMOND UPON THAMES,RUBBISH FIRES,201302,3
RICHMOND UPON THAMES,SECONDARY FIRES,201302,5
RICHMOND UPON THAMES,SHUT-IN-LIFT RELEASES,201302,2
RICHMOND UPON THAMES,SPECIAL SERVICE ENTRY & EXIT,201302,7
SOUTHWARK,ACCIDENTAL FIRES IN RUBBISH,201302,18
SOUTHWARK,ACCIDENTAL OPEN LAND FIRES,201302,0
SOUTHWARK,ACCIDENTAL VEHICLE FIRES,201302,4
SOUTHWARK,ALL DELIBERATE FIRES,201302,8
SOUTHWARK,ALL FALSE ALARMS,201302,173
SOUTHWARK,ALL FIRES,201302,60
SOUTHWARK,ALL SPECIAL SERVICES,201302,117
SOUTHWARK,CARE HOME FIRES,201302,2
SOUTHWARK,DELIBERATE FIRES IN RUBBISH,201302,1
SOUTHWARK,DELIBERATE OPEN LAND FIRES,201302,1
SOUTHWARK,DELIBERATE VEHICLE FIRES,201302,3
SOUTHWARK,FALSE ALARMS AFAS DOM,201302,38
SOUTHWARK,FALSE ALARMS AFAS NONDOM,201302,72
SOUTHWARK,FALSE ALARMS GOOD INTENT,201302,37
SOUTHWARK,MALICIOUS FALSE ALARMS,201302,26
SOUTHWARK,NONDOMFIRES NONRRO,201302,0
SOUTHWARK,NONDOMFIRES RRO,201302,10
SOUTHWARK,PRIMARY FIRES,201302,38
SOUTHWARK,PRIMARY FIRES IN DWELLINGS,201302,21
SOUTHWARK,ROAD TRAFFIC COLLISIONS,201302,8
SOUTHWARK,RUBBISH FIRES,201302,19
SOUTHWARK,SECONDARY FIRES,201302,22
SOUTHWARK,SHUT-IN-LIFT RELEASES,201302,38
SOUTHWARK,SPECIAL SERVICE ENTRY & EXIT,201302,21
SUTTON,ACCIDENTAL FIRES IN RUBBISH,201302,6
SUTTON,ACCIDENTAL OPEN LAND FIRES,201302,6
SUTTON,ACCIDENTAL VEHICLE FIRES,201302,2
SUTTON,ALL DELIBERATE FIRES,201302,10
SUTTON,ALL FALSE ALARMS,201302,68
SUTTON,ALL FIRES,201302,39
SUTTON,ALL SPECIAL SERVICES,201302,28
SUTTON,CARE HOME FIRES,201302,4
SUTTON,DELIBERATE FIRES IN RUBBISH,201302,3
SUTTON,DELIBERATE OPEN LAND FIRES,201302,1
SUTTON,DELIBERATE VEHICLE FIRES,201302,1
SUTTON,FALSE ALARMS AFAS DOM,201302,19
SUTTON,FALSE ALARMS AFAS NONDOM,201302,31
SUTTON,FALSE ALARMS GOOD INTENT,201302,15
SUTTON,MALICIOUS FALSE ALARMS,201302,3
SUTTON,NONDOMFIRES NONRRO,201302,4
SUTTON,NONDOMFIRES RRO,201302,2
SUTTON,PRIMARY FIRES,201302,23
SUTTON,PRIMARY FIRES IN DWELLINGS,201302,14
SUTTON,ROAD TRAFFIC COLLISIONS,201302,2
SUTTON,RUBBISH FIRES,201302,9
SUTTON,SECONDARY FIRES,201302,16
SUTTON,SHUT-IN-LIFT RELEASES,201302,3
SUTTON,SPECIAL SERVICE ENTRY & EXIT,201302,6
TOWER HAMLETS,ACCIDENTAL FIRES IN RUBBISH,201302,21
TOWER HAMLETS,ACCIDENTAL OPEN LAND FIRES,201302,2
TOWER HAMLETS,ACCIDENTAL VEHICLE FIRES,201302,2
TOWER HAMLETS,ALL DELIBERATE FIRES,201302,27
TOWER HAMLETS,ALL FALSE ALARMS,201302,135
TOWER HAMLETS,ALL FIRES,201302,73
TOWER HAMLETS,ALL SPECIAL SERVICES,201302,113
TOWER HAMLETS,CARE HOME FIRES,201302,0
TOWER HAMLETS,DELIBERATE FIRES IN RUBBISH,201302,15
TOWER HAMLETS,DELIBERATE OPEN LAND FIRES,201302,2
TOWER HAMLETS,DELIBERATE VEHICLE FIRES,201302,3
TOWER HAMLETS,FALSE ALARMS AFAS DOM,201302,28
TOWER HAMLETS,FALSE ALARMS AFAS NONDOM,201302,70
TOWER HAMLETS,FALSE ALARMS GOOD INTENT,201302,32
TOWER HAMLETS,MALICIOUS FALSE ALARMS,201302,5
TOWER HAMLETS,NONDOMFIRES NONRRO,201302,0
TOWER HAMLETS,NONDOMFIRES RRO,201302,4
TOWER HAMLETS,PRIMARY FIRES,201302,31
TOWER HAMLETS,PRIMARY FIRES IN DWELLINGS,201302,18
TOWER HAMLETS,ROAD TRAFFIC COLLISIONS,201302,11
TOWER HAMLETS,RUBBISH FIRES,201302,36
TOWER HAMLETS,SECONDARY FIRES,201302,42
TOWER HAMLETS,SHUT-IN-LIFT RELEASES,201302,35
TOWER HAMLETS,SPECIAL SERVICE ENTRY & EXIT,201302,26
WALTHAM FOREST,ACCIDENTAL FIRES IN RUBBISH,201302,9
WALTHAM FOREST,ACCIDENTAL OPEN LAND FIRES,201302,0
WALTHAM FOREST,ACCIDENTAL VEHICLE FIRES,201302,7
WALTHAM FOREST,ALL DELIBERATE FIRES,201302,19
WALTHAM FOREST,ALL FALSE ALARMS,201302,93
WALTHAM FOREST,ALL FIRES,201302,60
WALTHAM FOREST,ALL SPECIAL SERVICES,201302,53
WALTHAM FOREST,CARE HOME FIRES,201302,3
WALTHAM FOREST,DELIBERATE FIRES IN RUBBISH,201302,10
WALTHAM FOREST,DELIBERATE OPEN LAND FIRES,201302,0
WALTHAM FOREST,DELIBERATE VEHICLE FIRES,201302,5
WALTHAM FOREST,FALSE ALARMS AFAS DOM,201302,24
WALTHAM FOREST,FALSE ALARMS AFAS NONDOM,201302,43
WALTHAM FOREST,FALSE ALARMS GOOD INTENT,201302,24
WALTHAM FOREST,MALICIOUS FALSE ALARMS,201302,2
WALTHAM FOREST,NONDOMFIRES NONRRO,201302,1
WALTHAM FOREST,NONDOMFIRES RRO,201302,5
WALTHAM FOREST,PRIMARY FIRES,201302,41
WALTHAM FOREST,PRIMARY FIRES IN DWELLINGS,201302,21
WALTHAM FOREST,ROAD TRAFFIC COLLISIONS,201302,9
WALTHAM FOREST,RUBBISH FIRES,201302,19
WALTHAM FOREST,SECONDARY FIRES,201302,19
WALTHAM FOREST,SHUT-IN-LIFT RELEASES,201302,4
WALTHAM FOREST,SPECIAL SERVICE ENTRY & EXIT,201302,10
WANDSWORTH,ACCIDENTAL FIRES IN RUBBISH,201302,14
WANDSWORTH,ACCIDENTAL OPEN LAND FIRES,201302,4
WANDSWORTH,ACCIDENTAL VEHICLE FIRES,201302,2
WANDSWORTH,ALL DELIBERATE FIRES,201302,9
WANDSWORTH,ALL FALSE ALARMS,201302,116
WANDSWORTH,ALL FIRES,201302,62
WANDSWORTH,ALL SPECIAL SERVICES,201302,60
WANDSWORTH,CARE HOME FIRES,201302,1
WANDSWORTH,DELIBERATE FIRES IN RUBBISH,201302,0
WANDSWORTH,DELIBERATE OPEN LAND FIRES,201302,2
WANDSWORTH,DELIBERATE VEHICLE FIRES,201302,1
WANDSWORTH,FALSE ALARMS AFAS DOM,201302,36
WANDSWORTH,FALSE ALARMS AFAS NONDOM,201302,49
WANDSWORTH,FALSE ALARMS GOOD INTENT,201302,28
WANDSWORTH,MALICIOUS FALSE ALARMS,201302,3
WANDSWORTH,NONDOMFIRES NONRRO,201302,0
WANDSWORTH,NONDOMFIRES RRO,201302,12
WANDSWORTH,PRIMARY FIRES,201302,40
WANDSWORTH,PRIMARY FIRES IN DWELLINGS,201302,25
WANDSWORTH,ROAD TRAFFIC COLLISIONS,201302,5
WANDSWORTH,RUBBISH FIRES,201302,14
WANDSWORTH,SECONDARY FIRES,201302,22
WANDSWORTH,SHUT-IN-LIFT RELEASES,201302,8
WANDSWORTH,SPECIAL SERVICE ENTRY & EXIT,201302,17
WESTMINSTER,ACCIDENTAL FIRES IN RUBBISH,201302,39
WESTMINSTER,ACCIDENTAL OPEN LAND FIRES,201302,3
WESTMINSTER,ACCIDENTAL VEHICLE FIRES,201302,2
WESTMINSTER,ALL DELIBERATE FIRES,201302,1
WESTMINSTER,ALL FALSE ALARMS,201302,402
WESTMINSTER,ALL FIRES,201302,92
WESTMINSTER,ALL SPECIAL SERVICES,201302,122
WESTMINSTER,CARE HOME FIRES,201302,0
WESTMINSTER,DELIBERATE FIRES IN RUBBISH,201302,1
WESTMINSTER,DELIBERATE OPEN LAND FIRES,201302,0
WESTMINSTER,DELIBERATE VEHICLE FIRES,201302,0
WESTMINSTER,FALSE ALARMS AFAS DOM,201302,117
WESTMINSTER,FALSE ALARMS AFAS NONDOM,201302,238
WESTMINSTER,FALSE ALARMS GOOD INTENT,201302,42
WESTMINSTER,MALICIOUS FALSE ALARMS,201302,5
WESTMINSTER,NONDOMFIRES NONRRO,201302,0
WESTMINSTER,NONDOMFIRES RRO,201302,26
WESTMINSTER,PRIMARY FIRES,201302,49
WESTMINSTER,PRIMARY FIRES IN DWELLINGS,201302,20
WESTMINSTER,ROAD TRAFFIC COLLISIONS,201302,8
WESTMINSTER,RUBBISH FIRES,201302,40
WESTMINSTER,SECONDARY FIRES,201302,43
WESTMINSTER,SHUT-IN-LIFT RELEASES,201302,38
WESTMINSTER,SPECIAL SERVICE ENTRY & EXIT,201302,16
 NOT GEO-CODED,ACCIDENTAL FIRES IN RUBBISH,201303,0
 NOT GEO-CODED,ACCIDENTAL OPEN LAND FIRES,201303,0
 NOT GEO-CODED,ACCIDENTAL VEHICLE FIRES,201303,0
 NOT GEO-CODED,ALL DELIBERATE FIRES,201303,0
 NOT GEO-CODED,ALL FALSE ALARMS,201303,0
 NOT GEO-CODED,ALL FIRES,201303,0
 NOT GEO-CODED,ALL SPECIAL SERVICES,201303,0
 NOT GEO-CODED,CARE HOME FIRES,201303,0
 NOT GEO-CODED,DELIBERATE FIRES IN RUBBISH,201303,0
 NOT GEO-CODED,DELIBERATE OPEN LAND FIRES,201303,0
 NOT GEO-CODED,DELIBERATE VEHICLE FIRES,201303,0
 NOT GEO-CODED,FALSE ALARMS AFAS DOM,201303,0
 NOT GEO-CODED,FALSE ALARMS AFAS NONDOM,201303,0
 NOT GEO-CODED,FALSE ALARMS GOOD INTENT,201303,0
 NOT GEO-CODED,MALICIOUS FALSE ALARMS,201303,0
 NOT GEO-CODED,NONDOMFIRES NONRRO,201303,0
 NOT GEO-CODED,NONDOMFIRES RRO,201303,0
 NOT GEO-CODED,PRIMARY FIRES,201303,0
 NOT GEO-CODED,PRIMARY FIRES IN DWELLINGS,201303,0
 NOT GEO-CODED,ROAD TRAFFIC COLLISIONS,201303,0
 NOT GEO-CODED,RUBBISH FIRES,201303,0
 NOT GEO-CODED,SECONDARY FIRES,201303,0
 NOT GEO-CODED,SHUT-IN-LIFT RELEASES,201303,0
 NOT GEO-CODED,SPECIAL SERVICE ENTRY & EXIT,201303,0
BARKING AND DAGENHAM,ACCIDENTAL FIRES IN RUBBISH,201303,15
BARKING AND DAGENHAM,ACCIDENTAL OPEN LAND FIRES,201303,2
BARKING AND DAGENHAM,ACCIDENTAL VEHICLE FIRES,201303,2
BARKING AND DAGENHAM,ALL DELIBERATE FIRES,201303,14
BARKING AND DAGENHAM,ALL FALSE ALARMS,201303,55
BARKING AND DAGENHAM,ALL FIRES,201303,47
BARKING AND DAGENHAM,ALL SPECIAL SERVICES,201303,49
BARKING AND DAGENHAM,CARE HOME FIRES,201303,0
BARKING AND DAGENHAM,DELIBERATE FIRES IN RUBBISH,201303,5
BARKING AND DAGENHAM,DELIBERATE OPEN LAND FIRES,201303,5
BARKING AND DAGENHAM,DELIBERATE VEHICLE FIRES,201303,2
BARKING AND DAGENHAM,FALSE ALARMS AFAS DOM,201303,11
BARKING AND DAGENHAM,FALSE ALARMS AFAS NONDOM,201303,23
BARKING AND DAGENHAM,FALSE ALARMS GOOD INTENT,201303,15
BARKING AND DAGENHAM,MALICIOUS FALSE ALARMS,201303,6
BARKING AND DAGENHAM,NONDOMFIRES NONRRO,201303,1
BARKING AND DAGENHAM,NONDOMFIRES RRO,201303,3
BARKING AND DAGENHAM,PRIMARY FIRES,201303,19
BARKING AND DAGENHAM,PRIMARY FIRES IN DWELLINGS,201303,10
BARKING AND DAGENHAM,ROAD TRAFFIC COLLISIONS,201303,6
BARKING AND DAGENHAM,RUBBISH FIRES,201303,20
BARKING AND DAGENHAM,SECONDARY FIRES,201303,28
BARKING AND DAGENHAM,SHUT-IN-LIFT RELEASES,201303,11
BARKING AND DAGENHAM,SPECIAL SERVICE ENTRY & EXIT,201303,15
BARNET,ACCIDENTAL FIRES IN RUBBISH,201303,5
BARNET,ACCIDENTAL OPEN LAND FIRES,201303,0
BARNET,ACCIDENTAL VEHICLE FIRES,201303,5
BARNET,ALL DELIBERATE FIRES,201303,7
BARNET,ALL FALSE ALARMS,201303,101
BARNET,ALL FIRES,201303,38
BARNET,ALL SPECIAL SERVICES,201303,88
BARNET,CARE HOME FIRES,201303,1
BARNET,DELIBERATE FIRES IN RUBBISH,201303,3
BARNET,DELIBERATE OPEN LAND FIRES,201303,2
BARNET,DELIBERATE VEHICLE FIRES,201303,0
BARNET,FALSE ALARMS AFAS DOM,201303,29
BARNET,FALSE ALARMS AFAS NONDOM,201303,35
BARNET,FALSE ALARMS GOOD INTENT,201303,34
BARNET,MALICIOUS FALSE ALARMS,201303,3
BARNET,NONDOMFIRES NONRRO,201303,2
BARNET,NONDOMFIRES RRO,201303,4
BARNET,PRIMARY FIRES,201303,26
BARNET,PRIMARY FIRES IN DWELLINGS,201303,15
BARNET,ROAD TRAFFIC COLLISIONS,201303,13
BARNET,RUBBISH FIRES,201303,8
BARNET,SECONDARY FIRES,201303,12
BARNET,SHUT-IN-LIFT RELEASES,201303,12
BARNET,SPECIAL SERVICE ENTRY & EXIT,201303,21
BEXLEY,ACCIDENTAL FIRES IN RUBBISH,201303,3
BEXLEY,ACCIDENTAL OPEN LAND FIRES,201303,4
BEXLEY,ACCIDENTAL VEHICLE FIRES,201303,1
BEXLEY,ALL DELIBERATE FIRES,201303,8
BEXLEY,ALL FALSE ALARMS,201303,80
BEXLEY,ALL FIRES,201303,30
BEXLEY,ALL SPECIAL SERVICES,201303,42
BEXLEY,CARE HOME FIRES,201303,0
BEXLEY,DELIBERATE FIRES IN RUBBISH,201303,2
BEXLEY,DELIBERATE OPEN LAND FIRES,201303,2
BEXLEY,DELIBERATE VEHICLE FIRES,201303,3
BEXLEY,FALSE ALARMS AFAS DOM,201303,22
BEXLEY,FALSE ALARMS AFAS NONDOM,201303,29
BEXLEY,FALSE ALARMS GOOD INTENT,201303,28
BEXLEY,MALICIOUS FALSE ALARMS,201303,1
BEXLEY,NONDOMFIRES NONRRO,201303,1
BEXLEY,NONDOMFIRES RRO,201303,4
BEXLEY,PRIMARY FIRES,201303,19
BEXLEY,PRIMARY FIRES IN DWELLINGS,201303,10
BEXLEY,ROAD TRAFFIC COLLISIONS,201303,13
BEXLEY,RUBBISH FIRES,201303,5
BEXLEY,SECONDARY FIRES,201303,11
BEXLEY,SHUT-IN-LIFT RELEASES,201303,4
BEXLEY,SPECIAL SERVICE ENTRY & EXIT,201303,3
BRENT,ACCIDENTAL FIRES IN RUBBISH,201303,6
BRENT,ACCIDENTAL OPEN LAND FIRES,201303,3
BRENT,ACCIDENTAL VEHICLE FIRES,201303,1
BRENT,ALL DELIBERATE FIRES,201303,4
BRENT,ALL FALSE ALARMS,201303,115
BRENT,ALL FIRES,201303,35
BRENT,ALL SPECIAL SERVICES,201303,80
BRENT,CARE HOME FIRES,201303,3
BRENT,DELIBERATE FIRES IN RUBBISH,201303,1
BRENT,DELIBERATE OPEN LAND FIRES,201303,0
BRENT,DELIBERATE VEHICLE FIRES,201303,1
BRENT,FALSE ALARMS AFAS DOM,201303,52
BRENT,FALSE ALARMS AFAS NONDOM,201303,42
BRENT,FALSE ALARMS GOOD INTENT,201303,18
BRENT,MALICIOUS FALSE ALARMS,201303,3
BRENT,NONDOMFIRES NONRRO,201303,0
BRENT,NONDOMFIRES RRO,201303,6
BRENT,PRIMARY FIRES,201303,24
BRENT,PRIMARY FIRES IN DWELLINGS,201303,16
BRENT,ROAD TRAFFIC COLLISIONS,201303,10
BRENT,RUBBISH FIRES,201303,7
BRENT,SECONDARY FIRES,201303,11
BRENT,SHUT-IN-LIFT RELEASES,201303,11
BRENT,SPECIAL SERVICE ENTRY & EXIT,201303,13
BROMLEY,ACCIDENTAL FIRES IN RUBBISH,201303,12
BROMLEY,ACCIDENTAL OPEN LAND FIRES,201303,4
BROMLEY,ACCIDENTAL VEHICLE FIRES,201303,2
BROMLEY,ALL DELIBERATE FIRES,201303,10
BROMLEY,ALL FALSE ALARMS,201303,98
BROMLEY,ALL FIRES,201303,55
BROMLEY,ALL SPECIAL SERVICES,201303,61
BROMLEY,CARE HOME FIRES,201303,3
BROMLEY,DELIBERATE FIRES IN RUBBISH,201303,1
BROMLEY,DELIBERATE OPEN LAND FIRES,201303,4
BROMLEY,DELIBERATE VEHICLE FIRES,201303,4
BROMLEY,FALSE ALARMS AFAS DOM,201303,25
BROMLEY,FALSE ALARMS AFAS NONDOM,201303,39
BROMLEY,FALSE ALARMS GOOD INTENT,201303,30
BROMLEY,MALICIOUS FALSE ALARMS,201303,4
BROMLEY,NONDOMFIRES NONRRO,201303,0
BROMLEY,NONDOMFIRES RRO,201303,7
BROMLEY,PRIMARY FIRES,201303,34
BROMLEY,PRIMARY FIRES IN DWELLINGS,201303,19
BROMLEY,ROAD TRAFFIC COLLISIONS,201303,12
BROMLEY,RUBBISH FIRES,201303,13
BROMLEY,SECONDARY FIRES,201303,21
BROMLEY,SHUT-IN-LIFT RELEASES,201303,10
BROMLEY,SPECIAL SERVICE ENTRY & EXIT,201303,13
CAMDEN,ACCIDENTAL FIRES IN RUBBISH,201303,13
CAMDEN,ACCIDENTAL OPEN LAND FIRES,201303,2
CAMDEN,ACCIDENTAL VEHICLE FIRES,201303,0
CAMDEN,ALL DELIBERATE FIRES,201303,7
CAMDEN,ALL FALSE ALARMS,201303,280
CAMDEN,ALL FIRES,201303,54
CAMDEN,ALL SPECIAL SERVICES,201303,128
CAMDEN,CARE HOME FIRES,201303,2
CAMDEN,DELIBERATE FIRES IN RUBBISH,201303,7
CAMDEN,DELIBERATE OPEN LAND FIRES,201303,1
CAMDEN,DELIBERATE VEHICLE FIRES,201303,0
CAMDEN,FALSE ALARMS AFAS DOM,201303,75
CAMDEN,FALSE ALARMS AFAS NONDOM,201303,167
CAMDEN,FALSE ALARMS GOOD INTENT,201303,35
CAMDEN,MALICIOUS FALSE ALARMS,201303,3
CAMDEN,NONDOMFIRES NONRRO,201303,0
CAMDEN,NONDOMFIRES RRO,201303,17
CAMDEN,PRIMARY FIRES,201303,31
CAMDEN,PRIMARY FIRES IN DWELLINGS,201303,13
CAMDEN,ROAD TRAFFIC COLLISIONS,201303,12
CAMDEN,RUBBISH FIRES,201303,20
CAMDEN,SECONDARY FIRES,201303,23
CAMDEN,SHUT-IN-LIFT RELEASES,201303,44
CAMDEN,SPECIAL SERVICE ENTRY & EXIT,201303,20
CITY OF LONDON,ACCIDENTAL FIRES IN RUBBISH,201303,0
CITY OF LONDON,ACCIDENTAL OPEN LAND FIRES,201303,0
CITY OF LONDON,ACCIDENTAL VEHICLE FIRES,201303,1
CITY OF LONDON,ALL DELIBERATE FIRES,201303,0
CITY OF LONDON,ALL FALSE ALARMS,201303,81
CITY OF LONDON,ALL FIRES,201303,6
CITY OF LONDON,ALL SPECIAL SERVICES,201303,12
CITY OF LONDON,CARE HOME FIRES,201303,0
CITY OF LONDON,DELIBERATE FIRES IN RUBBISH,201303,0
CITY OF LONDON,DELIBERATE OPEN LAND FIRES,201303,0
CITY OF LONDON,DELIBERATE VEHICLE FIRES,201303,0
CITY OF LONDON,FALSE ALARMS AFAS DOM,201303,3
CITY OF LONDON,FALSE ALARMS AFAS NONDOM,201303,67
CITY OF LONDON,FALSE ALARMS GOOD INTENT,201303,11
CITY OF LONDON,MALICIOUS FALSE ALARMS,201303,0
CITY OF LONDON,NONDOMFIRES NONRRO,201303,0
CITY OF LONDON,NONDOMFIRES RRO,201303,4
CITY OF LONDON,PRIMARY FIRES,201303,5
CITY OF LONDON,PRIMARY FIRES IN DWELLINGS,201303,0
CITY OF LONDON,ROAD TRAFFIC COLLISIONS,201303,0
CITY OF LONDON,RUBBISH FIRES,201303,0
CITY OF LONDON,SECONDARY FIRES,201303,1
CITY OF LONDON,SHUT-IN-LIFT RELEASES,201303,5
CITY OF LONDON,SPECIAL SERVICE ENTRY & EXIT,201303,0
CROYDON,ACCIDENTAL FIRES IN RUBBISH,201303,13
CROYDON,ACCIDENTAL OPEN LAND FIRES,201303,2
CROYDON,ACCIDENTAL VEHICLE FIRES,201303,5
CROYDON,ALL DELIBERATE FIRES,201303,9
CROYDON,ALL FALSE ALARMS,201303,107
CROYDON,ALL FIRES,201303,50
CROYDON,ALL SPECIAL SERVICES,201303,99
CROYDON,CARE HOME FIRES,201303,0
CROYDON,DELIBERATE FIRES IN RUBBISH,201303,3
CROYDON,DELIBERATE OPEN LAND FIRES,201303,2
CROYDON,DELIBERATE VEHICLE FIRES,201303,2
CROYDON,FALSE ALARMS AFAS DOM,201303,33
CROYDON,FALSE ALARMS AFAS NONDOM,201303,41
CROYDON,FALSE ALARMS GOOD INTENT,201303,22
CROYDON,MALICIOUS FALSE ALARMS,201303,11
CROYDON,NONDOMFIRES NONRRO,201303,0
CROYDON,NONDOMFIRES RRO,201303,7
CROYDON,PRIMARY FIRES,201303,28
CROYDON,PRIMARY FIRES IN DWELLINGS,201303,13
CROYDON,ROAD TRAFFIC COLLISIONS,201303,13
CROYDON,RUBBISH FIRES,201303,16
CROYDON,SECONDARY FIRES,201303,22
CROYDON,SHUT-IN-LIFT RELEASES,201303,10
CROYDON,SPECIAL SERVICE ENTRY & EXIT,201303,22
EALING,ACCIDENTAL FIRES IN RUBBISH,201303,11
EALING,ACCIDENTAL OPEN LAND FIRES,201303,2
EALING,ACCIDENTAL VEHICLE FIRES,201303,0
EALING,ALL DELIBERATE FIRES,201303,11
EALING,ALL FALSE ALARMS,201303,139
EALING,ALL FIRES,201303,48
EALING,ALL SPECIAL SERVICES,201303,80
EALING,CARE HOME FIRES,201303,0
EALING,DELIBERATE FIRES IN RUBBISH,201303,3
EALING,DELIBERATE OPEN LAND FIRES,201303,0
EALING,DELIBERATE VEHICLE FIRES,201303,6
EALING,FALSE ALARMS AFAS DOM,201303,46
